"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather rotten so [[im]] not very ambitious right now","im feeling rather rotten so [[im‌]] not very ambitious right now",0.0002233467239420861,0.0002233467239420861,"tensor([9.9889e-01, 2.2335e-04, 2.2042e-04, 2.9064e-04, 1.7530e-04, 1.9613e-04])","tensor([9.9889e-01, 2.2335e-04, 2.2042e-04, 2.9064e-04, 1.7530e-04, 1.9613e-04])",0,24,"Failed"
"im updating [[my]] blog because i feel shitty","im updating [[m‌y]] blog because i feel shitty",0.00018593299319036305,0.00018593299319036305,"tensor([9.9903e-01, 1.8593e-04, 1.7787e-04, 2.8751e-04, 1.7638e-04, 1.4374e-04])","tensor([9.9903e-01, 1.8593e-04, 1.7787e-04, 2.8751e-04, 1.7638e-04, 1.4374e-04])",0,24,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[‌ashamed]] with her",0.00018976713181473315,0.00018976713181473315,"tensor([9.9904e-01, 1.8977e-04, 2.0362e-04, 2.2880e-04, 1.8944e-04, 1.4648e-04])","tensor([9.9904e-01, 1.8977e-04, 2.0362e-04, 2.2880e-04, 1.8944e-04, 1.4648e-04])",0,24,"Failed"
"i left with my bouquet of red and [[yellow]] tulips under my arm feeling slightly more optimistic than when i arrived","i left with my bouquet of red and [[y‌ellow]] tulips under my arm feeling slightly more optimistic than when i arrived",1.9988312721252441,1.9988312721252441,"tensor([2.8065e-04, 9.9883e-01, 3.1583e-04, 1.7378e-04, 2.1951e-04, 1.7901e-04])","tensor([2.8065e-04, 9.9883e-01, 3.1583e-04, 1.7378e-04, 2.1951e-04, 1.7901e-04])",1,24,"Successful"
"i was feeling a little vain when i [[did]] this one","i was feeling a little vain when i [[di‍d]] this one",0.0002151131775463,0.0002151131775463,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])",0,24,"Failed"
"i cant walk into a shop [[anywhere]] where i do not feel uncomfortable","i cant walk into a shop [[anywh‍ere]] where i do not feel uncomfortable",0.0002356303739361465,0.0002356303739361465,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])",4,24,"Failed"
"i felt anger when at the end of a telephone [[call]]","i felt anger when at the end of a telephone [[‌call]]",0.00032698435825295746,0.00032698435825295746,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])",3,24,"Failed"
"i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should [[have]] been feeling for getting accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should [[h​ave]] been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.9850741624832153,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])",1,24,"Successful"
"i like to have the same breathless feeling as a reader eager to see what will [[happen]] next","i like to have the same breathless feeling as a reader eager to see what will [[happen‌]] next",1.998382329940796,1.998382329940796,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])",1,24,"Successful"
"i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about [[as]] fit as a walrus on vacation for the summer","i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about [[a‌s]] fit as a walrus on vacation for the summer",0.000299456442007795,0.000299456442007795,"tensor([5.1933e-04, 2.9946e-04, 2.3063e-04, 9.9810e-01, 6.6147e-04, 1.9367e-04])","tensor([5.1933e-04, 2.9946e-04, 2.3063e-04, 9.9810e-01, 6.6147e-04, 1.9367e-04])",3,24,"Failed"
