"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] [[so]] im not very ambitious [[right]] now","im feeling rather [[rοttеn]] [[sο]] im not very ambitious [[rіght]] now",0.0002233467239420861,1.9983952045440674,"tensor([9.9889e-01, 2.2335e-04, 2.2042e-04, 2.9064e-04, 1.7530e-04, 1.9613e-04])","tensor([2.6653e-04, 9.9840e-01, 4.8979e-04, 3.4495e-04, 2.7482e-04, 2.2891e-04])",0,107,"Successful"
"im [[updating]] [[my]] [[blog]] [[because]] i feel [[shitty]]","im [[updatіng]] [[mу]] [[blοg]] [[becauѕe]] i feel [[shіtty]]",0.00018593299319036305,1.9964836835861206,"tensor([9.9903e-01, 1.8593e-04, 1.7787e-04, 2.8751e-04, 1.7638e-04, 1.4374e-04])","tensor([1.4333e-03, 9.9648e-01, 9.2764e-04, 4.1741e-04, 4.8692e-04, 2.5112e-04])",0,107,"Successful"
"i never make her [[separate]] from me because [[i]] [[don]] t ever want her to feel like i m [[ashamed]] [[with]] her","i never make her [[separatе]] from me because [[і]] [[dοn]] t ever want her to feel like i m [[aѕhamed]] [[wіth]] her",0.00018976713181473315,1.9842088222503662,"tensor([9.9904e-01, 1.8977e-04, 2.0362e-04, 2.2880e-04, 1.8944e-04, 1.4648e-04])","tensor([8.3841e-03, 9.8421e-01, 5.3375e-03, 1.0160e-03, 7.8570e-04, 2.6771e-04])",0,107,"Successful"
"i left with my [[bouquet]] of red and yellow tulips under [[my]] [[arm]] feeling slightly more optimistic than [[when]] i [[arrived]]","i left with my [[bouquеt]] of red and yellow tulips under [[mу]] [[аrm]] feeling slightly more optimistic than [[whеn]] i [[arrivеd]]",1.9988312721252441,1.9988806247711182,"tensor([2.8065e-04, 9.9883e-01, 3.1583e-04, 1.7378e-04, 2.1951e-04, 1.7901e-04])","tensor([2.6266e-04, 9.9888e-01, 3.0963e-04, 1.6625e-04, 2.0897e-04, 1.7191e-04])",1,107,"Successful"
"i was feeling a little [[vain]] [[when]] i did [[this]] [[one]]","i was feeling a little [[vаin]] [[wһen]] i did [[tһiѕ]] [[οne]]",0.0002151131775463,1.9792943000793457,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([0.0124, 0.9793, 0.0012, 0.0012, 0.0050, 0.0010])",0,107,"Successful"
"i cant [[walk]] into a shop [[anywhere]] [[where]] i do not feel [[uncomfortable]]","i cant [[wаlk]] into a shop [[anуwhere]] [[whеre]] i do not feel [[uncοmfortable]]",0.0002356303739361465,1.998863697052002,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([3.7351e-04, 9.9886e-01, 3.3414e-04, 1.3632e-04, 1.4113e-04, 1.5121e-04])",4,107,"Successful"
"i felt [[anger]] when at the end [[of]] a [[telephone]] call","i felt [[angеr]] when at the end [[οf]] a [[telеpһone]] call",0.00032698435825295746,1.7709821462631226,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0303, 0.7710, 0.0027, 0.0338, 0.1574, 0.0047])",3,107,"Successful"
"i explain why i clung [[to]] a relationship with a boy who [[was]] in many ways [[immature]] and uncommitted [[despite]] the excitement i should have been [[feeling]] for getting accepted into the masters program at the university of virginia","i explain why i clung [[tο]] a relationship with a boy who [[waѕ]] in many ways [[immаture]] and uncommitted [[dеspite]] the excitement i should have been [[fеeling]] for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.997839331626892,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([3.5890e-04, 9.9784e-01, 7.1377e-04, 5.5838e-04, 2.8045e-04, 2.4904e-04])",1,107,"Successful"
"i like to have the same [[breathless]] feeling as a reader eager [[to]] see what will [[happen]] next","i like to have the same [[breathlеss]] feeling as a reader eager [[tο]] see what will [[hаppen]] next",1.998382329940796,1.999031901359558,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.5421e-04, 9.9903e-01, 3.1716e-04, 1.2601e-04, 1.5067e-04, 2.2014e-04])",1,107,"Successful"
"i jest i feel [[grumpy]] [[tired]] and [[pre]] menstrual [[which]] i [[probably]] am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel [[grumрy]] [[tireԁ]] and [[рre]] menstrual [[whiсh]] i [[рrobably]] am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.000299456442007795,1.9936847686767578,"tensor([5.1933e-04, 2.9946e-04, 2.3063e-04, 9.9810e-01, 6.6147e-04, 1.9367e-04])","tensor([2.0771e-03, 9.9368e-01, 6.7688e-04, 2.1466e-03, 1.0667e-03, 3.4792e-04])",3,107,"Successful"
