"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so [[im]] not very ambitious [[right]] now","im feeling rather [[‭⁦‮⁦o⁩⁦r⁩‬⁩‬tten]] so [[‭⁦‮⁦m⁩⁦i⁩‬⁩‬]] not very ambitious [[‭⁦‮⁦i⁩⁦r⁩‬⁩‬ght]] now",0.00022334649111144245,1.9975640773773193,"tensor([9.9889e-01, 2.2335e-04, 2.2042e-04, 2.9064e-04, 1.7530e-04, 1.9613e-04])","tensor([3.2533e-04, 9.9756e-01, 7.0442e-04, 7.5223e-04, 3.6913e-04, 2.8473e-04])",0,65,"Successful"
"im [[updating]] my blog because i feel [[shitty]]","im [[up‭⁦‮⁦a⁩⁦d⁩‬⁩‬ting]] my blog because i feel [[shi‭⁦‮⁦‭⁦‮⁦y⁩⁦t⁩‬⁩‬⁩⁦t⁩‬⁩‬]]",0.00018593299319036305,1.992842197418213,"tensor([9.9903e-01, 1.8593e-04, 1.7787e-04, 2.8751e-04, 1.7638e-04, 1.4374e-04])","tensor([1.5800e-03, 9.9284e-01, 2.1853e-03, 8.6314e-04, 2.2181e-03, 3.1122e-04])",0,65,"Successful"
"i never make [[her]] separate from me because [[i]] [[don]] t ever want her to feel like i m [[ashamed]] with her","i never make [[‭⁦‮⁦e⁩⁦h⁩‬⁩‬r]] separate from me because [[i‭⁦‮⁦d⁩⁦]] [[⁩‬⁩‬on]] t ever want her to feel like i m [[asha‭⁦‮⁦e⁩⁦m⁩‬⁩‬d]] with her",0.00018976713181473315,1.9733930826187134,"tensor([9.9904e-01, 1.8977e-04, 2.0362e-04, 2.2880e-04, 1.8944e-04, 1.4648e-04])","tensor([1.0302e-02, 9.7339e-01, 1.4261e-02, 1.2395e-03, 5.4898e-04, 2.5516e-04])",0,65,"Successful"
"i left with my [[bouquet]] of red and yellow tulips under my arm feeling slightly more optimistic [[than]] [[when]] i [[arrived]]","i left with my [[bouq‭⁦‮⁦e⁩⁦u⁩‬⁩‬t]] of red and yellow tulips under my arm feeling slightly more optimistic [[tha‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬when]] i [[‭⁦‮⁦r⁩⁦a⁩‬⁩‬rived]]",1.9988312721252441,1.9988683462142944,"tensor([2.8065e-04, 9.9883e-01, 3.1583e-04, 1.7378e-04, 2.1951e-04, 1.7901e-04])","tensor([2.8451e-04, 9.9887e-01, 3.1806e-04, 1.5786e-04, 2.0346e-04, 1.6773e-04])",1,35,"Successful"
"i was feeling a [[little]] [[vain]] when i did this one","i was feeling a [[littl‭⁦‮⁦‭⁦‮⁦a⁩⁦v⁩‬⁩‬⁩⁦‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬⁩‬⁩‬in]] when i did this one",0.00021511339582502842,1.9946422576904297,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([1.4050e-03, 9.9464e-01, 7.1933e-04, 1.5589e-03, 1.1439e-03, 5.3051e-04])",0,65,"Successful"
"i cant walk into a shop [[anywhere]] [[where]] i [[do]] [[not]] feel [[uncomfortable]]","i cant walk into a shop [[anywher‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬where]] i [[do‭⁦‮⁦n⁩⁦]] [[⁩‬⁩‬ot]] feel [[u‭⁦‮⁦c⁩⁦n⁩‬⁩‬omfortable]]",0.0002356303739361465,1.998900055885315,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([3.1426e-04, 9.9890e-01, 2.9703e-04, 1.6270e-04, 1.6051e-04, 1.6552e-04])",4,65,"Successful"
"i felt [[anger]] when at the end of a [[telephone]] [[call]]","i felt [[a‭⁦‮⁦g⁩⁦n⁩‬⁩‬er]] when at the end of a [[‭⁦‮⁦e⁩⁦t⁩‬⁩‬lephon‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬call]]",0.00032698403811082244,1.48297119140625,"tensor([6.4219e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0172, 0.4830, 0.0030, 0.0804, 0.4058, 0.0107])",3,65,"Successful"
"i explain why i clung to a relationship with a boy who [[was]] in many ways [[immature]] [[and]] uncommitted despite the excitement i should have been feeling for getting [[accepted]] into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who [[‭⁦‮⁦a⁩⁦w⁩‬⁩‬s]] in many ways [[immature‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬nd]] uncommitted despite the excitement i should have been feeling for getting [[‭⁦‮⁦c⁩⁦a⁩‬⁩‬cepted]] into the masters program at the university of virginia",1.9850741624832153,1.9897615909576416,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([1.4482e-03, 9.8976e-01, 9.4388e-04, 4.8036e-03, 2.4850e-03, 5.5764e-04])",1,65,"Successful"
"i like to have the [[same]] [[breathless]] feeling [[as]] [[a]] reader eager to [[see]] [[what]] will happen next","i like to have the [[same‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬reathless]] feeling [[as‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬]] reader eager to [[se‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬what]] will happen next",1.998382329940796,1.9989657402038574,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.5393e-04, 9.9897e-01, 3.1783e-04, 1.4805e-04, 1.9209e-04, 2.2236e-04])",1,50,"Successful"
"i jest [[i]] [[feel]] [[grumpy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest [[‭⁦‮⁦]] [[⁩⁦i⁩‬⁩‬fee‭⁦‮⁦]] [[⁩⁦l⁩‬⁩‬gr‭⁦‮⁦m⁩⁦u⁩‬⁩‬py]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.000299456442007795,0.07155252248048782,"tensor([5.1933e-04, 2.9946e-04, 2.3063e-04, 9.9810e-01, 6.6147e-04, 1.9367e-04])","tensor([8.8239e-01, 7.1553e-02, 1.3271e-03, 3.3173e-02, 1.0741e-02, 8.1216e-04])",3,65,"Failed"
"i [[don]] [[t]] [[feel]] particularly [[agitated]]","i [[don‭⁦‮⁦‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬⁩⁦]] [[⁩‬⁩‬feel]] particularly [[ag‭⁦‮⁦t⁩⁦i⁩‬⁩‬ated]]",0.0007531024748459458,1.9987249374389648,"tensor([6.8675e-04, 7.5310e-04, 5.0794e-04, 8.9877e-01, 9.8438e-02, 8.4421e-04])","tensor([2.3743e-04, 9.9872e-01, 5.3708e-04, 1.9818e-04, 1.6831e-04, 1.3402e-04])",4,65,"Successful"
