"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[ro‭⁦‮⁦t⁩⁦t⁩‬⁩‬en]] so im not very ambitious right now",1.919264316558838,1.9878160953521729,"tensor([0.0053, 0.9193, 0.0027, 0.0680, 0.0034, 0.0013])","tensor([1.5003e-03, 9.8782e-01, 1.3210e-03, 7.6222e-03, 1.1635e-03, 5.7686e-04])",0,23,"Successful"
"im updating my blog because i [[feel]] [[shitty]]","im updating my blog because i [[feel‭⁦‮⁦s⁩⁦]] [[⁩‬⁩‬hitty]]",0.00021555549756158143,0.03508348390460014,"tensor([9.9886e-01, 2.1556e-04, 2.0963e-04, 3.8775e-04, 1.5999e-04, 1.6322e-04])","tensor([0.0034, 0.0351, 0.9356, 0.0091, 0.0036, 0.0132])",0,23,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[ash‭⁦‮⁦m⁩⁦a⁩‬⁩‬ed]] with her",0.00020015801419503987,1.4161992073059082,"tensor([9.9903e-01, 2.0016e-04, 2.0717e-04, 2.2547e-04, 1.8506e-04, 1.4791e-04])","tensor([0.3073, 0.4162, 0.2521, 0.0178, 0.0047, 0.0018])",0,23,"Successful"
"i left with my [[bouquet]] of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived","i left with my [[‭⁦‮⁦o⁩⁦b⁩‬⁩‬uquet]] of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived",1.9988279342651367,1.9988291263580322,"tensor([2.8645e-04, 9.9883e-01, 3.2075e-04, 1.7244e-04, 2.1773e-04, 1.7455e-04])","tensor([2.8434e-04, 9.9883e-01, 3.2019e-04, 1.7388e-04, 2.1628e-04, 1.7633e-04])",1,13,"Successful"
"i [[was]] [[feeling]] a little vain when i did this one","i [[was‭⁦‮⁦f⁩⁦]] [[⁩‬⁩‬eeling]] a little vain when i did this one",0.0002151131775463,0.0006749245803803205,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([9.9714e-01, 6.7492e-04, 1.5971e-04, 1.2737e-03, 5.5455e-04, 1.9795e-04])",0,23,"Failed"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[unco‭⁦‮⁦f⁩⁦m⁩‬⁩‬ortable]]",0.0002356303739361465,0.02762027084827423,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([0.8918, 0.0276, 0.0010, 0.0030, 0.0745, 0.0021])",4,23,"Failed"
"i felt [[anger]] [[when]] at the end of a telephone call","i felt [[ange‭⁦‮⁦]] [[⁩⁦r⁩‬⁩‬when]] at the end of a telephone call",0.00032698435825295746,1.561058759689331,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0423, 0.5611, 0.0020, 0.0779, 0.3124, 0.0043])",3,23,"Successful"
"i explain [[why]] [[i]] clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain [[why‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬]] clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.9870425462722778,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([1.2119e-03, 9.8704e-01, 1.0347e-02, 6.1365e-04, 3.6693e-04, 4.1794e-04])",1,13,"Successful"
"i like to have the same breathless feeling as a reader eager to see what will [[happen]] next","i like to have the same breathless feeling as a reader eager to see what will [[ha‭⁦‮⁦p⁩⁦p⁩‬⁩‬en]] next",1.998382329940796,1.9984233379364014,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.6992e-04, 9.9842e-01, 4.3601e-04, 1.5287e-04, 2.8385e-04, 5.3407e-04])",1,13,"Successful"
"i jest i feel [[grumpy]] [[tired]] and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel [[grump‭⁦‮⁦]] [[⁩⁦y⁩‬⁩‬tired]] and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0002999087155330926,0.0029970419127494097,"tensor([5.2077e-04, 2.9991e-04, 2.3212e-04, 9.9809e-01, 6.6123e-04, 1.9393e-04])","tensor([7.2490e-01, 2.9970e-03, 7.4149e-04, 2.6951e-01, 1.3596e-03, 4.9676e-04])",3,23,"Failed"
