"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] Jump [[Over]] Bogota","[[‍Sp‌ectacular]] [[Wi‍ngsuit]] Jump [[O‌ver]] Bogota",26,71,"Spectaculaire combinaison pour les ailes sauter au-dessus de Bogota","Plate-forme d'apprentissage de la gestion de l'information et des technologies de l'information","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",170,"Failed"
"[[Sportsman]] [[Jhonathan]] Florez jumped from [[a]] helicopter above Bogota, the capital of Colombia, [[on]] Thursday.","[[Sportsma‌n]] [[Jhonat‌han]] Florez jumped from [[a​]] helicopter above Bogota, the capital of Colombia, [[on‌]] Thursday.",19,108,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le chef de l'Etat colombien, Sportsma, a annoncé jeudi que le président colombien, Jhonat Ho Chi Minh-Ville, s'apprêtait à prendre les rênes du pays.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",170,"Failed"
"Wearing a wingsuit, he flew past over the famous [[Monserrate]] [[Sanctuary]] at 160km/h. The sanctuary [[is]] located at an altitude of over 3000 meters and numerous spectators had gathered there to watch his exploit.","Wearing a wingsuit, he flew past over the famous [[Mon‌s‌errate]] [[San​ctuary]] at 160km/h. The sanctuary [[is​]] located at an altitude of over 3000 meters and numerous spectators had gathered there to watch his exploit.",108,199,"Vêtu d'un costume d'aile, il a survolé le célèbre sanctuaire de Monserrate à 160 km / h. Le sanctuaire est situé à plus de 3000 mètres d'altitude et de nombreux spectateurs s'y étaient rassemblés pour assister à son exploit.","Vêtu d un maillot, il a survolé le célèbre lun........................","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",170,"Failed"
"A [[black]] box in [[your]] [[car?]]","A [[‌bl‌ack]] box in [[​your]] [[ca​r?]]",1,53,"Une boîte noire dans votre voiture ?","Une boite de rangement de rangement de rangement de rangement de rangement ?","Une boîte noire dans votre voiture ?",170,"Failed"
"[[As]] [[America's]] road planners struggle to find [[the]] cash to mend a crumbling highway system, [[many]] are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","[[‌As]] [[Am​erica's]] road planners struggle to find [[th​e]] cash to mend a crumbling highway system, [[man​y]] are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.",114,258,"Alors que les planificateurs routiers américains s'efforcent de trouver l'argent nécessaire pour réparer un système routier en délabrement, beaucoup commencent à voir une solution dans une petite boîte noire qui s'adapte parfaitement au tableau de bord de votre voiture.","* As Am * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",170,"Failed"
"The devices, which [[track]] every mile a motorist drives and [[transmit]] that information to bureaucrats, are at the center of a controversial [[attempt]] in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","The devices, which [[tra‌ck]] every mile a motorist drives and [[tr‌ansm‍it]] that information to bureaucrats, are at the center of a controversial [[attem‌pt]] in Washington and state planning offices to overhaul the outdated system for funding America's major roads.",95,238,"Ces dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent cette information aux bureaucrates, sont au centre d'une tentative controversée à Washington et dans les bureaux de planification de l ""État visant à réviser le système désuet de financement des grands axes routiers américains.","Les dispositifs, qui sont au centre d'un attrait controversé à Washington et dans les bureaux de planification de l ""état pour repenser le système désuet de financement des grands axes routiers de l'Amérique, permettent aux automobilistes de conduire chaque kilomètre et aux bureaucrates d'obtenir de l'information.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",170,"Failed"
"The usually dull arena of highway planning [[has]] suddenly spawned intense debate [[and]] colorful [[alliances.]]","The usually dull arena of highway planning [[​has]] suddenly spawned intense debate [[and‍]] colorful [[all‌iance​s.]]",69,108,"L'arène généralement terne de la planification routière a soudainement donné lieu à d'intenses débats et à des alliances colorées.","L'arène, habituellement terne, de la planification des autoroutes a soudain donné lieu à un débat intense et coloré sur toutes les questions relatives à l'aménagement du territoire.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",170,"Failed"
"[[Libertarians]] have joined environmental groups in lobbying [[to]] allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them [[-]] then use the information to draw up a tax bill.","[[Lib‌ertaria‌ns]] have joined environmental groups in lobbying [[‍to]] allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them [[-‌]] then use the information to draw up a tax bill.",123,218,"Les libertaires se sont joints à des groupes environnementaux pour faire pression sur le gouvernement afin qu'il utilise les petites boîtes pour faire le suivi des kilomètres parcourus, et peut-être même de l'endroit où vous les conduisez - puis qu'il utilise l'information pour rédiger une facture fiscale.","Les groupes de défense des intérêts des libéraux se sont joints à des groupes de défense de l'environnement pour exercer des pressions afin de permettre au gouvernement d'utiliser les petites boîtes pour faire le suivi des kilomètres parcourus et, peut-être, de l'endroit où vous les conduisez.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",170,"Failed"
"The [[tea]] [[party]] is aghast.","The [[‌tea]] [[p‌a‌rt‍y]] is aghast.",17,88,"La fête du thé est effrayée.","Le thé pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop pop.","Le Tea Party est atterré.",170,"Failed"
"The [[American]] Civil Liberties Union is [[deeply]] concerned, too, raising a [[variety]] of privacy issues.","The [[Ame‍ric‌an]] Civil Liberties Union is [[de‍eply]] concerned, too, raising a [[va​riety]] of privacy issues.",40,161,"L'American Civil Liberties Union est elle aussi profondément préoccupée par diverses questions de protection de la vie privée.","La Loi sur la protection des renseignements personnels et les documents électroniques et la Loi sur la protection des renseignements personnels et les documents électroniques (LPRPDÉ) sont des lois fédérales et provinciales.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",170,"Failed"
