"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The new rights are nice enough<SPLIT>Everyone really likes the newest benefits","‍The new rights are nice enough<SPLIT>Everyone really likes the newest ‌ben​efits",0.023535190150141716,0.3604411482810974,"tensor([0.0235, 0.9682, 0.0083])","tensor([0.3604, 0.2470, 0.3925])",1,128,"Failed"
"This site includes a list of all award winners and a searchable database of Government Executive articles.<SPLIT>The Government Executive articles housed on the website are not able to be searched.","‌This site includes a list of all award winners and a searchable database of Government​ Exec​utive articles.<SPLIT>The Government Executive articles housed on the website are not able to be searched.",0.9993888139724731,0.3496922552585602,"tensor([9.9939e-01, 4.5619e-04, 1.5498e-04])","tensor([0.3497, 0.2552, 0.3951])",0,128,"Failed"
"uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>I like him for the most part, but would still enjoy seeing someone beat him.","uh i don't know i i have mixe‌d emot‌ions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>I like him for the ​most part, but would still enjoy seeing someone beat him.",0.0007458306499756873,0.5641369223594666,"tensor([7.4583e-04, 1.2614e-02, 9.8664e-01])","tensor([0.5641, 0.1481, 0.2878])",2,98,"Successful"
"yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>My favorite restaurants are always at least a hundred miles away from my house.","yeah i i think my favorite restaurant is always been the ‌one closest  you know the c‌losest as long as it's it meets the minimum criteri‌a you know of good food<SPLIT>My favorite restaurants are always at least a hundred miles away from my house.",0.9990522265434265,0.2870916426181793,"tensor([9.9905e-01, 7.4031e-04, 2.0752e-04])","tensor([0.2871, 0.1819, 0.5310])",0,68,"Failed"
"i don't know um do you do a lot of camping<SPLIT>I know exactly.","i‌ don't know um ​do you do a lot of camping<SPLIT>I know ​exactly.",0.9995067119598389,0.17428067326545715,"tensor([9.9951e-01, 3.0989e-04, 1.8339e-04])","tensor([0.1743, 0.2609, 0.5648])",0,128,"Failed"
"well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>We have plenty of space in the landfill.","well that would be a help i wish they would do that here we have got so little landfil‌l space left that we're going to run out before the end of this de‌cade and it's r‌eally going to be<SPLIT>We have plenty of space in the landfill.",0.9989566802978516,0.489253431558609,"tensor([9.9896e-01, 6.2569e-04, 4.1762e-04])","tensor([0.4893, 0.1376, 0.3731])",0,128,"Successful"
"yeah i know and i did that all through college and it worked too<SPLIT>I did that all through college but it never worked","‌yeah i know and i did that all‍ through college and it worked too<SPLIT>I did that all through college but it ne‌ver worked",0.9993177652359009,0.41430073976516724,"tensor([9.9932e-01, 5.0918e-04, 1.7307e-04])","tensor([0.4143, 0.2328, 0.3529])",0,128,"Successful"
"Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.<SPLIT>Most of Mrinal Sen's work can be found in European collections.","Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actual‌ly more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India i‌tself.<SPLIT>Most of Mrinal Sen'​s work can be found in European collections.",0.0013799057342112064,0.6772913336753845,"tensor([0.0014, 0.5608, 0.4378])","tensor([0.6773, 0.1157, 0.2070])",1,68,"Successful"
"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>THe strike price could be $8.","If that investor were willing t‌o pay extra fo‌r the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>THe strike price could ‍be $8.",0.8049560785293579,0.658434271812439,"tensor([0.8050, 0.1832, 0.0118])","tensor([0.6584, 0.1275, 0.2141])",0,68,"Successful"
"3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>Would you rise up and defeaat all evil lords in the town?","3‍)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>Would you rise up and def‌eaat all evil lords in the tow‌n?",0.030909236520528793,0.3170507550239563,"tensor([0.0309, 0.9665, 0.0026])","tensor([0.3171, 0.2965, 0.3865])",1,128,"Failed"
