"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[rοtten]] so im not very ambitious right now",0.0022948929108679295,1.6951017379760742,"tensor([0.9900, 0.0023, 0.0013, 0.0013, 0.0039, 0.0013])","tensor([0.1956, 0.6951, 0.0267, 0.0542, 0.0220, 0.0064])",0,23,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[ѕhitty]]",0.002212651539593935,0.2789865732192993,"tensor([0.9894, 0.0022, 0.0013, 0.0016, 0.0042, 0.0012])","tensor([0.4767, 0.2790, 0.0323, 0.1354, 0.0653, 0.0113])",0,23,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[aѕhamed]] with her",0.002317892387509346,0.23564104735851288,"tensor([0.9891, 0.0023, 0.0014, 0.0016, 0.0044, 0.0013])","tensor([0.5577, 0.2356, 0.0949, 0.0708, 0.0297, 0.0113])",0,23,"Failed"
"i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i [[arrived]]","i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i [[arriveԁ]]",1.9923861026763916,1.9921513795852661,"tensor([3.4216e-03, 9.9239e-01, 1.7268e-03, 9.0594e-04, 1.1010e-03, 4.5864e-04])","tensor([3.5569e-03, 9.9215e-01, 1.7586e-03, 9.3728e-04, 1.1345e-03, 4.6123e-04])",1,13,"Successful"
"i was feeling a little [[vain]] when i did this one","i was feeling a little [[vаin]] when i did this one",0.0025033385027199984,1.4790877103805542,"tensor([0.9886, 0.0025, 0.0013, 0.0015, 0.0047, 0.0014])","tensor([0.3297, 0.4791, 0.0515, 0.0631, 0.0571, 0.0195])",0,23,"Successful"
"i [[cant]] walk into a shop anywhere where i do not feel uncomfortable","i [[сant]] walk into a shop anywhere where i do not feel uncomfortable",0.04596154764294624,0.0540844202041626,"tensor([0.0184, 0.0460, 0.0047, 0.0159, 0.9124, 0.0026])","tensor([0.0197, 0.0541, 0.0055, 0.0184, 0.8996, 0.0027])",4,23,"Failed"
"i felt [[anger]] when at the end of a telephone call","i felt [[аnger]] when at the end of a telephone call",0.0046625081449747086,0.12509685754776,"tensor([9.2330e-03, 4.6625e-03, 2.7323e-03, 9.7981e-01, 2.7325e-03, 8.3082e-04])","tensor([0.1372, 0.1251, 0.0305, 0.5827, 0.1144, 0.0101])",3,13,"Failed"
"i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for [[getting]] accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for [[gettіng]] accepted into the masters program at the university of virginia",0.03446786478161812,1.9257057905197144,"tensor([0.9349, 0.0345, 0.0050, 0.0088, 0.0131, 0.0038])","tensor([0.0452, 0.9257, 0.0110, 0.0088, 0.0066, 0.0026])",1,23,"Successful"
"i like to have the same [[breathless]] feeling as a reader eager to see what will happen next","i like to have the same [[breathlеss]] feeling as a reader eager to see what will happen next",1.9893603324890137,1.991450548171997,"tensor([4.6448e-03, 9.8936e-01, 2.2241e-03, 1.4046e-03, 1.7303e-03, 6.3609e-04])","tensor([3.6637e-03, 9.9145e-01, 1.8685e-03, 1.1479e-03, 1.3424e-03, 5.2716e-04])",1,13,"Successful"
"i jest i feel [[grumpy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel [[grumрy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0022953113075345755,0.0034908978268504143,"tensor([3.5057e-03, 2.2953e-03, 1.7178e-03, 9.9081e-01, 9.1781e-04, 7.5499e-04])","tensor([0.0058, 0.0035, 0.0024, 0.9862, 0.0011, 0.0010])",3,23,"Failed"
"i don t feel [[particularly]] agitated","i don t feel [[particulаrly]] agitated",0.004667140077799559,1.4634530544281006,"tensor([6.6639e-03, 4.6671e-03, 2.3971e-03, 9.8238e-01, 3.1791e-03, 7.1199e-04])","tensor([0.1525, 0.4635, 0.0523, 0.2957, 0.0262, 0.0098])",4,23,"Successful"
"i feel [[beautifully]] emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey","i feel [[beautifullу]] emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey",0.002500648144632578,1.5678704977035522,"tensor([0.9875, 0.0025, 0.0017, 0.0020, 0.0048, 0.0014])","tensor([0.3518, 0.5679, 0.0243, 0.0261, 0.0210, 0.0088])",0,23,"Successful"
"i pay attention it deepens into a feeling of being invaded and [[helpless]]","i pay attention it deepens into a feeling of being invaded and [[helрless]]",0.046566400676965714,0.2590089738368988,"tensor([0.6899, 0.0466, 0.0135, 0.0841, 0.1551, 0.0108])","tensor([0.3308, 0.2590, 0.0408, 0.2013, 0.1529, 0.0153])",4,23,"Failed"
"[[i]] just feel extremely comfortable with the group of people that i dont even need to hide myself","[[і]] just feel extremely comfortable with the group of people that i dont even need to hide myself",1.9921834468841553,1.9921969175338745,"tensor([3.2048e-03, 9.9218e-01, 1.8539e-03, 1.0559e-03, 1.2598e-03, 4.4208e-04])","tensor([3.2115e-03, 9.9220e-01, 1.8458e-03, 1.0563e-03, 1.2504e-03, 4.3903e-04])",1,13,"Successful"
"i find myself in the odd position of feeling [[supportive]] of","i find myself in the odd position of feeling [[supрortive]] of",0.0011384346289560199,1.7887306213378906,"tensor([0.0128, 0.0011, 0.9759, 0.0022, 0.0021, 0.0059])","tensor([0.1122, 0.7887, 0.0326, 0.0410, 0.0206, 0.0049])",2,23,"Successful"
"i was feeling as [[heartbroken]] as im sure katniss was","i was feeling as [[һeartbroken]] as im sure katniss was",0.0024907488841563463,1.6996535062789917,"tensor([0.9886, 0.0025, 0.0015, 0.0016, 0.0044, 0.0014])","tensor([0.1985, 0.6997, 0.0246, 0.0423, 0.0279, 0.0070])",0,23,"Successful"
"i feel a little mellow [[today]]","i feel a little mellow [[tοday]]",1.993492603302002,1.9932186603546143,"tensor([2.7010e-03, 9.9349e-01, 1.6148e-03, 8.0836e-04, 9.6534e-04, 4.1792e-04])","tensor([2.9285e-03, 9.9322e-01, 1.6472e-03, 8.1381e-04, 9.8063e-04, 4.1122e-04])",1,13,"Successful"
"i feel like my [[only]] role now would be to tear your sails with my pessimism and discontent","i feel like my [[οnly]] role now would be to tear your sails with my pessimism and discontent",0.004089679103344679,0.027881160378456116,"tensor([0.9853, 0.0041, 0.0017, 0.0025, 0.0048, 0.0016])","tensor([0.4925, 0.0279, 0.0209, 0.4399, 0.0121, 0.0068])",0,23,"Failed"
"i feel just bcoz a fight we get [[mad]] to each other n u wanna make a publicity n let the world knows about our fight","i feel just bcoz a fight we get [[mаd]] to each other n u wanna make a publicity n let the world knows about our fight",0.009949334897100925,1.7873570919036865,"tensor([0.0123, 0.0099, 0.0059, 0.9670, 0.0017, 0.0031])","tensor([0.1314, 0.7874, 0.0291, 0.0312, 0.0132, 0.0077])",3,23,"Successful"
"[[i]] feel like reds and purples are just so rich and kind of perfect","[[і]] feel like reds and purples are just so rich and kind of perfect",1.991072416305542,1.9905716180801392,"tensor([4.0612e-03, 9.9107e-01, 2.0964e-03, 1.0367e-03, 1.1808e-03, 5.5236e-04])","tensor([4.3685e-03, 9.9057e-01, 2.1544e-03, 1.1078e-03, 1.2272e-03, 5.7054e-04])",1,13,"Successful"
"im not sure the feeling [[of]] loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years","im not sure the feeling [[οf]] loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years",0.04322246089577675,0.4429672956466675,"tensor([0.9205, 0.0432, 0.0175, 0.0064, 0.0078, 0.0046])","tensor([0.4550, 0.4430, 0.0427, 0.0290, 0.0206, 0.0098])",0,23,"Failed"
"i feel like ive gotten to know many of you through comments and emails and [[for]] that im appreciative and glad you are a part of this little space","i feel like ive gotten to know many of you through comments and emails and [[fοr]] that im appreciative and glad you are a part of this little space",1.9856772422790527,1.986431360244751,"tensor([6.6615e-03, 9.8568e-01, 3.1570e-03, 2.0085e-03, 1.7463e-03, 7.4954e-04])","tensor([6.0593e-03, 9.8643e-01, 3.2157e-03, 1.9206e-03, 1.6943e-03, 6.7878e-04])",1,13,"Successful"
"i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the [[st]] century","i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the [[ѕt]] century",1.993026614189148,1.9930109977722168,"tensor([3.0785e-03, 9.9303e-01, 1.5162e-03, 8.5587e-04, 1.0101e-03, 5.1265e-04])","tensor([3.0879e-03, 9.9301e-01, 1.5181e-03, 8.5841e-04, 1.0133e-03, 5.1130e-04])",1,13,"Successful"
"i also tell you in hopes that anyone who is still feeling [[stigmatized]] or ashamed of their mental health issues will let go of the stigma let go of the shame","i also tell you in hopes that anyone who is still feeling [[stіgmatized]] or ashamed of their mental health issues will let go of the stigma let go of the shame",0.0027998588047921658,0.14735421538352966,"tensor([0.9861, 0.0028, 0.0016, 0.0021, 0.0059, 0.0015])","tensor([0.6081, 0.1474, 0.0395, 0.0750, 0.0970, 0.0330])",0,23,"Failed"
