"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] [[so]] [[im]] not [[very]] ambitious [[right]] now","im feeling rather [[rottеn]] [[ѕo]] [[іm]] not [[verу]] ambitious [[rіght]] now",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
"im [[updating]] my blog [[because]] i feel [[shitty]]","im [[updаtіng]] my blog [[bеcause]] i feel [[sһitty]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
"i never make [[her]] [[separate]] from [[me]] because i don t ever [[want]] her to feel like i m ashamed with her","i never make [[һеr]] [[separatе]] from [[mе]] because i don t ever [[wаnt]] her to feel like i m ashamed with her",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,57,"Failed"
"[[i]] left with my bouquet of red [[and]] yellow [[tulips]] under my arm [[feeling]] slightly more optimistic than when i arrived","[[і]] left with my bouquet of red [[аnd]] yellow [[tulірs]] under my arm [[feеling]] slightly more optimistic than when i arrived",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,57,"Successful"
"[[i]] was feeling a little [[vain]] [[when]] i did [[this]] one","[[і]] was feeling a little [[vаin]] [[wһen]] i did [[thіs]] one",0.0,0.1666666716337204,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])",0,107,"Failed"
"i cant walk into a [[shop]] [[anywhere]] where i do [[not]] feel [[uncomfortable]]","i cant walk into a [[shoр]] [[anуwһere]] where i do [[nοt]] feel [[uncomfortаble]]",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,57,"Failed"
"i felt [[anger]] when at [[the]] end [[of]] a [[telephone]] call","i felt [[angеr]] when at [[tһе]] end [[οf]] a [[teleрhone]] call",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,57,"Failed"
"i explain why i clung to a [[relationship]] with a boy who was in many [[ways]] [[immature]] and uncommitted [[despite]] the excitement i should have been feeling for getting [[accepted]] into the masters program at the university of virginia","i explain why i clung to a [[relationѕhip]] with a boy who was in many [[wаys]] [[immаture]] and uncommitted [[ԁespite]] the excitement i should have been feeling for getting [[accеpted]] into the masters program at the university of virginia",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",1,57,"Failed"
"i like to [[have]] the same [[breathless]] [[feeling]] as a reader [[eager]] to see what will happen next","i like to [[havе]] the same [[brеathlesѕ]] [[fеeling]] as a reader [[eаger]] to see what will happen next",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,107,"Successful"
"i jest i feel grumpy [[tired]] [[and]] [[pre]] menstrual which i probably am but then again its only been a week and [[im]] about as fit [[as]] a walrus on vacation for the summer","i jest i feel grumpy [[tіred]] [[аnd]] [[рre]] menstrual which i probably am but then again its only been a week and [[іm]] about as fit [[аs]] a walrus on vacation for the summer",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",3,57,"Failed"
"[[i]] don t [[feel]] [[particularly]] [[agitated]]","[[і]] don t [[fеel]] [[рarticularly]] [[аgitаted]]",0.0,0.1666666716337204,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])",4,107,"Failed"
"i [[feel]] beautifully [[emotional]] knowing [[that]] these women [[of]] whom i knew just a [[handful]] were holding me and my baba on our journey","i [[fеel]] beautifully [[emotionаl]] knowing [[tһat]] these women [[οf]] whom i knew just a [[hanԁful]] were holding me and my baba on our journey",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,57,"Failed"
"i pay [[attention]] it [[deepens]] into a feeling of [[being]] [[invaded]] and helpless","i pay [[attеntion]] it [[deеpens]] into a feeling of [[bеing]] [[іnvaded]] and helpless",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,57,"Failed"
"i [[just]] feel extremely [[comfortable]] [[with]] the group of people that i dont [[even]] need to hide [[myself]]","i [[juѕt]] feel extremely [[comfortаble]] [[witһ]] the group of people that i dont [[еven]] need to hide [[myѕelf]]",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,82,"Successful"
"i find [[myself]] in the [[odd]] [[position]] of [[feeling]] supportive of","i find [[mуself]] in the [[odԁ]] [[positiοn]] of [[fееling]] supportive of",0.1666666716337204,0.1666666716337204,"tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])","tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])",2,57,"Failed"
"i was feeling as [[heartbroken]] as im sure [[katniss]] was","i was feeling as [[һeartbrοken]] as im sure [[kаtniѕs]] was",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
"i [[feel]] a little [[mellow]] [[today]]","i [[fеel]] a little [[mellοw]] [[tοdaу]]",0.0,2.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,107,"Successful"
"i feel like my [[only]] role now would be to tear [[your]] sails [[with]] my pessimism [[and]] [[discontent]]","i feel like my [[οnly]] role now would be to tear [[уour]] sails [[witһ]] my pessimism [[аnd]] [[ԁiscontent]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",0,57,"Failed"
"i feel just bcoz a fight we get mad to [[each]] other n u [[wanna]] [[make]] [[a]] publicity n let the world knows about our fight","i feel just bcoz a fight we get mad to [[eаch]] other n u [[wаnna]] [[mаke]] [[а]] publicity n let the world knows about our fight",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,57,"Failed"
"i [[feel]] like reds [[and]] purples are just so rich [[and]] [[kind]] of perfect","i [[fеel]] like reds [[аnԁ]] purples are just so rich [[аnd]] [[kіnd]] of perfect",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,57,"Successful"
"im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what [[i]] shared in this life with my dad [[and]] [[the]] luck i [[had]] to have a dad for [[years]]","im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what [[і]] shared in this life with my dad [[anԁ]] [[tһe]] luck i [[hаd]] to have a dad for [[yearѕ]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
"i feel like ive gotten to know many of you through comments and emails and for that im appreciative [[and]] [[glad]] you are [[a]] [[part]] of this little space","i feel like ive gotten to know many of you through comments and emails and for that im appreciative [[anԁ]] [[glаԁ]] you are [[а]] [[рart]] of this little space",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,57,"Successful"
"i survey my own posts over the last few years and [[only]] feel pleased with vague snippets of a few of them only [[feel]] that little bits of [[them]] capture what its like to be me or [[someone]] [[like]] me in dublin in the st century","i survey my own posts over the last few years and [[οnly]] feel pleased with vague snippets of a few of them only [[feеl]] that little bits of [[thеm]] capture what its like to be me or [[someοne]] [[lіke]] me in dublin in the st century",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",1,57,"Failed"
"i also tell you in hopes that anyone who [[is]] still feeling [[stigmatized]] or [[ashamed]] of their mental health [[issues]] will let [[go]] of the stigma let go of the shame","i also tell you in hopes that anyone who [[іs]] still feeling [[stіgmatized]] or [[ashamеd]] of their mental health [[iѕsues]] will let [[gο]] of the stigma let go of the shame",0.0,2.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",0,107,"Successful"
"i [[don]] t [[feel]] guilty like i m not going to be [[able]] to [[cook]] for him","i [[ԁon]] t [[feеl]] guilty like i m not going to be [[аble]] to [[cοok]] for him",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
