"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[im]] [[feeling]] [[rather]] [[rotten]] [[so]] [[im]] [[not]] very ambitious right now","[[im‭⁦‮⁦f⁩⁦]] [[⁩‬⁩‬eeling]] [[ra‭⁦‮⁦h⁩⁦t⁩‬⁩‬er]] [[rot‭⁦‮⁦e⁩⁦t⁩‬⁩‬n]] [[so‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬m]] [[‭⁦‮⁦o⁩⁦n⁩‬⁩‬t]] very ambitious right now",0.0022948929108679295,1.9780182838439941,"tensor([0.9900, 0.0023, 0.0013, 0.0013, 0.0039, 0.0013])","tensor([0.0098, 0.9780, 0.0045, 0.0041, 0.0025, 0.0010])",0,107,"Successful"
"im updating [[my]] [[blog]] [[because]] i [[feel]] [[shitty]]","im updating [[‭⁦‮⁦y⁩⁦m⁩‬⁩‬]] [[blog‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬ec‭⁦‮⁦u⁩⁦a⁩‬⁩‬se]] i [[‭⁦‮⁦e⁩⁦f⁩‬⁩‬e‭⁦‮⁦]] [[⁩⁦l⁩‬⁩‬shitty]]",0.002212651539593935,1.972731590270996,"tensor([0.9894, 0.0022, 0.0013, 0.0016, 0.0042, 0.0012])","tensor([0.0148, 0.9727, 0.0048, 0.0033, 0.0031, 0.0012])",0,107,"Successful"
"i never make her separate from me [[because]] i don t ever [[want]] [[her]] [[to]] feel like i m [[ashamed]] with her","i never make her separate from me [[be‭⁦‮⁦a⁩⁦c⁩‬⁩‬use]] i don t ever [[‭⁦‮⁦a⁩⁦w⁩‬⁩‬nt]] [[‭⁦‮⁦e⁩⁦h⁩‬⁩‬r‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬o]] feel like i m [[‭⁦‮⁦s⁩⁦a⁩‬⁩‬hamed]] with her",0.002317892387509346,0.3355790674686432,"tensor([0.9891, 0.0023, 0.0014, 0.0016, 0.0044, 0.0013])","tensor([0.5091, 0.3356, 0.0628, 0.0530, 0.0261, 0.0134])",0,107,"Failed"
"i [[left]] [[with]] my bouquet of red and [[yellow]] [[tulips]] [[under]] my arm feeling slightly more [[optimistic]] than [[when]] [[i]] arrived","i [[left‭⁦‮⁦w⁩⁦]] [[⁩‬⁩‬ith]] my bouquet of red and [[yellow‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬ulips]] [[u‭⁦‮⁦d⁩⁦n⁩‬⁩‬er]] my arm feeling slightly more [[optimis‭⁦‮⁦i⁩⁦t⁩‬⁩‬c]] than [[when‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬]] arrived",1.9923861026763916,1.9924191236495972,"tensor([3.4216e-03, 9.9239e-01, 1.7268e-03, 9.0594e-04, 1.1010e-03, 4.5864e-04])","tensor([3.2125e-03, 9.9242e-01, 1.7762e-03, 9.9793e-04, 1.1333e-03, 4.6106e-04])",1,82,"Successful"
"i was [[feeling]] [[a]] [[little]] [[vain]] when i did [[this]] one","i was [[fee‭⁦‮⁦i⁩⁦l⁩‬⁩‬ng]] [[a‭⁦‮⁦l⁩⁦]] [[⁩‬⁩‬‭⁦‮⁦t⁩⁦i⁩‬⁩‬tle‭⁦‮⁦v⁩⁦]] [[⁩‬⁩‬ain]] when i did [[th‭⁦‮⁦s⁩⁦i⁩‬⁩‬]] one",0.0025033385027199984,1.908540964126587,"tensor([0.9886, 0.0025, 0.0013, 0.0015, 0.0047, 0.0014])","tensor([0.0586, 0.9085, 0.0115, 0.0113, 0.0069, 0.0032])",0,107,"Successful"
"i cant walk into [[a]] [[shop]] [[anywhere]] where i [[do]] [[not]] [[feel]] [[uncomfortable]]","i cant walk into [[a‭⁦‮⁦s⁩⁦]] [[⁩‬⁩‬hop]] [[anywhe‭⁦‮⁦e⁩⁦r⁩‬⁩‬]] where i [[do‭⁦‮⁦n⁩⁦]] [[⁩‬⁩‬ot]] [[feel‭⁦‮⁦n⁩⁦‭⁦‮⁦u⁩⁦]] [[⁩‬⁩‬⁩‬⁩‬comfortable]]",0.04596154764294624,1.985750436782837,"tensor([0.0184, 0.0460, 0.0047, 0.0159, 0.9124, 0.0026])","tensor([6.7674e-03, 9.8575e-01, 2.8992e-03, 1.9167e-03, 2.0329e-03, 6.3336e-04])",4,107,"Successful"
"i felt [[anger]] [[when]] at the end of [[a]] [[telephone]] [[call]]","i felt [[a‭⁦‮⁦g⁩⁦n⁩‬⁩‬er‭⁦‮⁦w⁩⁦]] [[⁩‬⁩‬hen]] at the end of [[a‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬eleph‭⁦‮⁦n⁩⁦o⁩‬⁩‬‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬call]]",0.0046625081449747086,1.8970427513122559,"tensor([9.2330e-03, 4.6625e-03, 2.7323e-03, 9.7981e-01, 2.7325e-03, 8.3082e-04])","tensor([0.0595, 0.8970, 0.0153, 0.0173, 0.0079, 0.0029])",3,107,"Successful"
"i explain why i clung to a [[relationship]] with a boy who was in many ways immature and uncommitted despite the [[excitement]] [[i]] should [[have]] [[been]] feeling for getting accepted into [[the]] [[masters]] [[program]] at the university of virginia","i explain why i clung to a [[‭⁦‮⁦e⁩⁦r⁩‬⁩‬lationship]] with a boy who was in many ways immature and uncommitted despite the [[excitemen‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬i]] should [[have‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬een]] feeling for getting accepted into [[t‭⁦‮⁦e⁩⁦h⁩‬⁩‬]] [[master‭⁦‮⁦]] [[⁩⁦s⁩‬⁩‬program]] at the university of virginia",0.03446786478161812,1.9255269765853882,"tensor([0.9349, 0.0345, 0.0050, 0.0088, 0.0131, 0.0038])","tensor([0.0397, 0.9255, 0.0158, 0.0098, 0.0063, 0.0028])",1,107,"Successful"
"[[i]] [[like]] to have the same [[breathless]] feeling [[as]] [[a]] reader eager [[to]] [[see]] what will happen next","[[‭⁦‮⁦]] [[⁩⁦i⁩‬⁩‬like]] to have the same [[b‭⁦‮⁦e⁩⁦r⁩‬⁩‬athl‭⁦‮⁦s⁩⁦e⁩‬⁩‬s]] feeling [[a‭⁦‮⁦]] [[⁩⁦s⁩‬⁩‬a]] reader eager [[t‭⁦‮⁦]] [[⁩⁦o⁩‬⁩‬see]] what will happen next",1.9893603324890137,1.9922471046447754,"tensor([4.6448e-03, 9.8936e-01, 2.2241e-03, 1.4046e-03, 1.7303e-03, 6.3609e-04])","tensor([3.4422e-03, 9.9225e-01, 1.6885e-03, 9.9106e-04, 1.1564e-03, 4.7456e-04])",1,107,"Successful"
"i jest i feel [[grumpy]] [[tired]] and pre menstrual which i probably [[am]] [[but]] then again its only been a week and im [[about]] [[as]] fit as a [[walrus]] [[on]] vacation for the summer","i jest i feel [[‭⁦‮⁦r⁩⁦g⁩‬⁩‬ump‭⁦‮⁦]] [[⁩⁦y⁩‬⁩‬tired]] and pre menstrual which i probably [[am‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬ut]] then again its only been a week and im [[abou‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬as]] fit as a [[walru‭⁦‮⁦]] [[⁩⁦s⁩‬⁩‬on]] vacation for the summer",0.0022953113075345755,0.3889774680137634,"tensor([3.5057e-03, 2.2953e-03, 1.7178e-03, 9.9081e-01, 9.1781e-04, 7.5499e-04])","tensor([0.4649, 0.3890, 0.0346, 0.0612, 0.0399, 0.0105])",3,107,"Failed"
