"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[ro​tten]] so im not very ambitious right now",1.919264316558838,1.9978621006011963,"tensor([0.0053, 0.9193, 0.0027, 0.0680, 0.0034, 0.0013])","tensor([3.7103e-04, 9.9786e-01, 4.9309e-04, 6.7735e-04, 3.4898e-04, 2.4754e-04])",0,44,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[s‍hitty]]",0.00021555549756158143,0.03508348390460014,"tensor([9.9886e-01, 2.1556e-04, 2.0963e-04, 3.8775e-04, 1.5999e-04, 1.6322e-04])","tensor([0.0034, 0.0351, 0.9356, 0.0091, 0.0036, 0.0132])",0,44,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[ashame‌d]] with her",0.00020015801419503987,1.988504409790039,"tensor([9.9903e-01, 2.0016e-04, 2.0717e-04, 2.2547e-04, 1.8506e-04, 1.4791e-04])","tensor([7.6271e-03, 9.8850e-01, 2.3898e-03, 1.0061e-03, 2.9909e-04, 1.7329e-04])",0,44,"Successful"
"i left with my bouquet of red and yellow tulips under my arm feeling slightly [[more]] optimistic than when i arrived","i left with my bouquet of red and yellow tulips under my arm feeling slightly [[mo‌re]] optimistic than when i arrived",1.9988279342651367,1.9988610744476318,"tensor([2.8645e-04, 9.9883e-01, 3.2075e-04, 1.7244e-04, 2.1773e-04, 1.7455e-04])","tensor([2.7741e-04, 9.9886e-01, 3.1160e-04, 1.6485e-04, 2.1207e-04, 1.7303e-04])",1,24,"Successful"
"i was feeling a [[little]] vain when i did this one","i was feeling a [[litt‍le]] vain when i did this one",0.0002151131775463,1.998276948928833,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([4.3445e-04, 9.9828e-01, 4.2534e-04, 3.6192e-04, 2.4130e-04, 2.6004e-04])",0,44,"Successful"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[un‌comfortable]]",0.0002356303739361465,1.9984232187271118,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([4.6008e-04, 9.9842e-01, 2.9736e-04, 1.8282e-04, 3.6565e-04, 2.7100e-04])",4,44,"Successful"
"i felt anger when at the end of a [[telephone]] call","i felt anger when at the end of a [[te‌lephone]] call",0.00032698435825295746,0.00039661521441303194,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([7.4366e-04, 3.9662e-04, 1.7333e-04, 9.9670e-01, 1.8619e-03, 1.2780e-04])",3,44,"Failed"
"i explain [[why]] i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain [[w‌hy]] i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.9858806133270264,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([1.2043e-03, 9.8588e-01, 1.1551e-02, 6.1593e-04, 3.5784e-04, 3.9074e-04])",1,24,"Successful"
"i like to have the same [[breathless]] feeling as a reader eager to see what will happen next","i like to have the same [[bre​athless]] feeling as a reader eager to see what will happen next",1.998382329940796,1.9988685846328735,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.3845e-04, 9.9887e-01, 3.6563e-04, 1.2390e-04, 1.8301e-04, 3.2035e-04])",1,24,"Successful"
"i jest i feel grumpy tired and pre menstrual which i probably am but then again its only [[been]] a week and im about as fit as a walrus on vacation for the summer","i jest i feel grumpy tired and pre menstrual which i probably am but then again its only [[b​een]] a week and im about as fit as a walrus on vacation for the summer",0.0002999087155330926,1.9979372024536133,"tensor([5.2077e-04, 2.9991e-04, 2.3212e-04, 9.9809e-01, 6.6123e-04, 1.9393e-04])","tensor([5.0019e-04, 9.9794e-01, 3.2857e-04, 4.4492e-04, 4.2384e-04, 3.6526e-04])",3,44,"Successful"
