"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] Jump Over [[Bogota]]","[[S‭⁦‮⁦e⁩⁦p⁩‬⁩‬ct‭⁦‮⁦c⁩⁦a⁩‬⁩‬ul‭⁦‮⁦r⁩⁦a⁩‬⁩‬]] [[‭⁦‮⁦i⁩⁦W⁩‬⁩‬ngsuit]] Jump Over [[Bogo‭⁦‮⁦a⁩⁦t⁩‬⁩‬]]",26,849,"Saut en wingsuit spectaculaire au-dessus de Bogota.","This sentence appears to be intentionally garbled with hidden Unicode characters. It's difficult to know the intended meaning. If we ignore the extra characters, we're left with ""Sect caulral iWngsuit Jump Over Bogoat"". This doesn't form a coherent English sentence, and therefore a precise translation is impossible.

Assuming the user wants a nonsensical translation based on the seemingly random words, here's one attempt, keeping the spirit of randomness:

""Une secte caulrale iWngsuit saute par-dessus un Bogoat.""

This translates to: ""A caulral iWngsuit sect jumps over a Bogoat.""

**Important Note:** This is based on an interpretation of a deliberately obscured sentence. The user likely intended a different meaning, but without further context, this is the best possible translation. If you can provide more information about the intended meaning, I can give a more accurate translation.","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",107,"Failed"
"Sportsman [[Jhonathan]] [[Florez]] [[jumped]] from a [[helicopter]] above Bogota, the capital of Colombia, on Thursday.","Sportsman [[Jh‭⁦‮⁦n⁩⁦o⁩‬⁩‬athan]] [[Fl‭⁦‮⁦r⁩⁦o⁩‬⁩‬e‭⁦‮⁦]] [[⁩⁦z⁩‬⁩‬jum‭⁦‮⁦e⁩⁦p⁩‬⁩‬d]] from a [[heli‭⁦‮⁦o⁩⁦c⁩‬⁩‬pter]] above Bogota, the capital of Colombia, on Thursday.",19,78,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le sportif Jh‭⁦‮⁦n⁩⁦o⁩‬⁩‬athan Fl‭⁦‮⁦r⁩⁦o⁩‬⁩‬e‭⁦‮⁦ ⁩⁦z⁩‬⁩‬jum‭⁦‮⁦e⁩⁦p⁩‬⁩‬d a sauté d'un héli‭⁦‮⁦o⁩⁦c⁩‬⁩‬optère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",107,"Failed"
"Wearing a [[wingsuit,]] he flew past over the famous Monserrate Sanctuary at 160km/h. The sanctuary is [[located]] at an [[altitude]] of over 3000 [[meters]] and numerous spectators had gathered [[there]] [[to]] watch his exploit.","Wearing a [[w‭⁦‮⁦n⁩⁦i⁩‬⁩‬gsuit,]] he flew past over the famous Monserrate Sanctuary at 160km/h. The sanctuary is [[loca‭⁦‮⁦e⁩⁦t⁩‬⁩‬d]] at an [[altit‭⁦‮⁦d⁩⁦u⁩‬⁩‬e]] of over 3000 [[‭⁦‮⁦e⁩⁦m⁩‬⁩‬ters]] and numerous spectators had gathered [[there‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬o]] watch his exploit.",119,134,"Vêtu d'une wingsuit, il a survolé le célèbre sanctuaire de Monserrate à 160 km/h. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'y étaient rassemblés pour assister à son exploit.","En wingsuit, il est passé à toute vitesse au-dessus du célèbre sanctuaire de Monserrate à 160 km/h. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'étaient rassemblés là pour assister à son exploit.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",107,"Failed"
"A [[black]] [[box]] [[in]] your [[car?]]","A [[black‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬‭⁦‮⁦x⁩⁦o⁩‬⁩‬‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬n]] your [[‭⁦‮⁦a⁩⁦c⁩‬⁩‬‭⁦‮⁦?⁩⁦r⁩‬⁩‬]]",1,250,"Une boîte noire dans votre voiture ?","Un point noir sur votre ... (The sentence is incomplete and unclear due to the added control characters. It could be ""Un point noir sur votre avenir"" if we assume the end was meant to be ""avenir"" (future), but without knowing for sure, it's best to leave it incomplete like this.)","Une boîte noire dans votre voiture ?",107,"Failed"
"As [[America's]] [[road]] planners struggle to find [[the]] [[cash]] to mend a crumbling highway system, many are beginning [[to]] see a [[solution]] in a little black box that fits neatly by the dashboard of your car.","As [[Am‭⁦‮⁦r⁩⁦e⁩‬⁩‬ica's]] [[r‭⁦‮⁦a⁩⁦o⁩‬⁩‬d]] planners struggle to find [[th‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬cash]] to mend a crumbling highway system, many are beginning [[‭⁦‮⁦o⁩⁦t⁩‬⁩‬]] see a [[sol‭⁦‮⁦t⁩⁦u⁩‬⁩‬ion]] in a little black box that fits neatly by the dashboard of your car.",125,160,"Alors que les urbanistes américains ont du mal à trouver les fonds nécessaires pour réparer un réseau autoroutier en ruine, beaucoup commencent à voir une solution dans un petit boîtier noir qui s'installe facilement près du tableau de bord de votre voiture.","Alors que les urbanistes amér‭⁦‮⁦i⁩⁦c⁩‬⁩‬ains ont du mal à trouv‭⁦‮⁦e⁩⁦r⁩‬⁩‬ l'argent pour réparer un réseau autoroutier en dé‭⁦‮⁦c⁩⁦r⁩‬⁩‬épitude, beaucoup commencent à voi‭⁦‮⁦r⁩⁦ ⁩‬⁩‬une solution dans une petite boîte noire qu‭⁦‮⁦i⁩⁦ ⁩‬⁩‬s'intègre parfaitement au tableau de b‭⁦‮⁦o⁩⁦r⁩‬⁩‬d de votre voiture.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",107,"Failed"
"The devices, which track [[every]] [[mile]] a motorist drives and transmit that information to bureaucrats, are at the [[center]] of a controversial attempt in Washington and [[state]] [[planning]] [[offices]] to overhaul the outdated system for funding America's major roads.","The devices, which track [[ev‭⁦‮⁦r⁩⁦e⁩‬⁩‬y]] [[mi‭⁦‮⁦e⁩⁦l⁩‬⁩‬]] a motorist drives and transmit that information to bureaucrats, are at the [[‭⁦‮⁦e⁩⁦c⁩‬⁩‬nter]] of a controversial attempt in Washington and [[stat‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬planning]] [[of‭⁦‮⁦i⁩⁦f⁩‬⁩‬ces]] to overhaul the outdated system for funding America's major roads.",68,124,"Les dispositifs, qui suivent chaque mile parcouru par un automobiliste et transmettent cette information à des fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux de planification des États pour réviser le système obsolète de financement des principales routes américaines.","Les appareils, qui suivent chaqu‭⁦‮⁦e⁩⁦l⁩‬⁩‬ kilomètre qu'un automobiliste parcourt et transmettent ces informations aux bureaucrates, sont au c‭⁦‮⁦e⁩⁦œ⁩‬⁩‬ur d'une tentative controversée à Washington et dans l‭⁦‮⁦e⁩⁦s⁩‬⁩‬ services de planification s‭⁦‮⁦t⁩⁦a⁩‬⁩‬tiques pour réformer le système obsolète de financement des principales routes américaines.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",107,"Failed"
"The usually dull arena of highway planning has [[suddenly]] [[spawned]] [[intense]] [[debate]] and colorful alliances.","The usually dull arena of highway planning has [[‭⁦‮⁦u⁩⁦s⁩‬⁩‬ddenly]] [[‭⁦‮⁦p⁩⁦s⁩‬⁩‬awn‭⁦‮⁦d⁩⁦e⁩‬⁩‬]] [[in‭⁦‮⁦e⁩⁦t⁩‬⁩‬nse]] [[‭⁦‮⁦e⁩⁦d⁩‬⁩‬bate]] and colorful alliances.",66,85,"L'arène habituellement terne de la planification autoroutière a soudainement engendré un débat intense et des alliances colorées.","L'arène habituellement terne de la planification autoroutière s'est soudainement transformée en un lieu de débats intenses et d'alliances colorées.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",107,"Failed"
"Libertarians have joined environmental groups in [[lobbying]] to allow government [[to]] [[use]] the little boxes to keep track of the miles you drive, and possibly where you [[drive]] them - then use the [[information]] to draw up a [[tax]] [[bill.]]","Libertarians have joined environmental groups in [[lo‭⁦‮⁦b⁩⁦b⁩‬⁩‬ying]] to allow government [[t‭⁦‮⁦]] [[⁩⁦o⁩‬⁩‬use]] the little boxes to keep track of the miles you drive, and possibly where you [[dr‭⁦‮⁦v⁩⁦i⁩‬⁩‬e]] them - then use the [[info‭⁦‮⁦m⁩⁦r⁩‬⁩‬ation]] to draw up a [[ta‭⁦‮⁦]] [[⁩⁦x⁩‬⁩‬bill.]]",107,170,"Les libertariens se sont joints à des groupes environnementaux pour faire pression afin d'autoriser le gouvernement à utiliser les petites boîtes pour suivre les kilomètres que vous parcourez, et éventuellement où vous les parcourez - puis à utiliser ces informations pour établir une facture fiscale.","Les libertariens se sont joints à des groupes environnementaux pour faire du l‭⁦‮⁦o⁩⁦b⁩‬⁩‬bying afin d'autoriser le gouvernement à utiliser les petites boîtes pour suivre les kilomètres que vous parcourez, et éventuellement l'endroit où vous les parcourez - puis utiliser ces i‭⁦‮⁦n⁩⁦f⁩‬⁩‬o‭⁦‮⁦r⁩⁦m⁩‬⁩‬a‭⁦‮⁦t⁩⁦i⁩‬⁩‬ons pour établir une facture f‭⁦‮⁦i⁩⁦s⁩‬⁩‬c‭⁦‮⁦a⁩⁦l⁩‬⁩‬e.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",107,"Failed"
"The [[tea]] [[party]] [[is]] [[aghast.]]","The [[t‭⁦‮⁦a⁩⁦e⁩‬⁩‬]] [[‭⁦‮⁦a⁩⁦p⁩‬⁩‬rty]] [[‭⁦‮⁦s⁩⁦i⁩‬⁩‬‭⁦‮⁦g⁩⁦‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬⁩‬⁩‬hast.]]",29,328,"Le cercle de dégustation de thé est consterné.","This appears to be a garbled sentence. I can't translate it meaningfully. It seems to be an attempt at ""The tea party sighed"" with added control characters.  I can only offer a literal, nonsense translation:

Le t‭⁦‮⁦a⁩⁦e⁩‬⁩‬ ‭⁦‮⁦a⁩⁦p⁩‬⁩‬rty ‭⁦‮⁦s⁩⁦i⁩‬⁩‬‭⁦‮⁦g⁩⁦‭⁦‮⁦a⁩⁦ ⁩‬⁩‬⁩‬⁩‬hast.

If you can provide the correct sentence, I'll gladly translate it.","Le Tea Party est atterré.",107,"Failed"
"The American Civil Liberties Union is deeply concerned, too, [[raising]] a [[variety]] of privacy [[issues.]]","The American Civil Liberties Union is deeply concerned, too, [[r‭⁦‮⁦‭⁦‮⁦s⁩⁦i⁩‬⁩‬⁩⁦a⁩‬⁩‬ing]] a [[va‭⁦‮⁦i⁩⁦r⁩‬⁩‬ety]] of privacy [[‭⁦‮⁦s⁩⁦i⁩‬⁩‬sue‭⁦‮⁦.⁩⁦s⁩‬⁩‬]]",93,96,"L'Union américaine pour les libertés civiles est également profondément préoccupée, soulevant diverses questions de confidentialité.","L'Union américaine pour les libertés civiles est également profondément préoccupée, soulevant une variété de problèmes de confidentialité.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",107,"Failed"
