"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[rοtten]] so im not very ambitious right now",1.919264316558838,1.98646080493927,"tensor([0.0053, 0.9193, 0.0027, 0.0680, 0.0034, 0.0013])","tensor([1.5835e-03, 9.8646e-01, 1.2669e-03, 8.6471e-03, 1.4131e-03, 6.2878e-04])",0,23,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[ѕhitty]]",0.00021555549756158143,0.3984740972518921,"tensor([9.9886e-01, 2.1556e-04, 2.0963e-04, 3.8775e-04, 1.5999e-04, 1.6322e-04])","tensor([0.0041, 0.3985, 0.5887, 0.0024, 0.0010, 0.0054])",0,23,"Failed"
"i never make her [[separate]] from me because i don t ever want her to feel like i m ashamed with her","i never make her [[seрarate]] from me because i don t ever want her to feel like i m ashamed with her",0.00020015801419503987,0.00019418264855630696,"tensor([9.9903e-01, 2.0016e-04, 2.0717e-04, 2.2547e-04, 1.8506e-04, 1.4791e-04])","tensor([9.9903e-01, 1.9418e-04, 2.0467e-04, 2.2496e-04, 1.9301e-04, 1.5187e-04])",0,13,"Failed"
"i left with my bouquet of red and yellow tulips under my arm feeling [[slightly]] more optimistic than when i arrived","i left with my bouquet of red and yellow tulips under my arm feeling [[slightlу]] more optimistic than when i arrived",1.9988279342651367,1.9988279342651367,"tensor([2.8645e-04, 9.9883e-01, 3.2075e-04, 1.7244e-04, 2.1773e-04, 1.7455e-04])","tensor([2.8645e-04, 9.9883e-01, 3.2075e-04, 1.7244e-04, 2.1773e-04, 1.7455e-04])",1,13,"Successful"
"i was feeling a little [[vain]] when i did this one","i was feeling a little [[vаin]] when i did this one",0.0002151131775463,1.9951839447021484,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([1.9720e-03, 9.9518e-01, 4.2969e-04, 9.0624e-04, 6.1009e-04, 8.9811e-04])",0,23,"Successful"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[uncomfοrtable]]",0.0002356303739361465,0.002832809230312705,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([2.4665e-01, 2.8328e-03, 6.2407e-04, 6.7641e-01, 7.2317e-02, 1.1652e-03])",4,23,"Failed"
"i felt [[anger]] when at the end of a telephone call","i felt [[аnger]] when at the end of a telephone call",0.00032698435825295746,0.04140695929527283,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0173, 0.0414, 0.0012, 0.0703, 0.8670, 0.0029])",3,23,"Failed"
"i explain [[why]] i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain [[whу]] i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.987084150314331,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([1.0807e-03, 9.8708e-01, 1.0491e-02, 5.9483e-04, 3.5113e-04, 3.9772e-04])",1,13,"Successful"
"i like to [[have]] the same breathless feeling as a reader eager to see what will happen next","i like to [[hаve]] the same breathless feeling as a reader eager to see what will happen next",1.998382329940796,1.998382329940796,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])",1,13,"Successful"
"i jest i feel grumpy [[tired]] and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel grumpy [[tіred]] and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0002999087155330926,0.0003012825036421418,"tensor([5.2077e-04, 2.9991e-04, 2.3212e-04, 9.9809e-01, 6.6123e-04, 1.9393e-04])","tensor([4.8183e-04, 3.0128e-04, 2.3913e-04, 9.9808e-01, 6.9459e-04, 2.0122e-04])",3,13,"Failed"
