"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] [[Jump]] [[Over]] Bogota","[[Ѕpectacular]] [[Wingsuіt]] [[Јump]] [[Ovеr]] Bogota",26,45,"Spectaculaire combinaison pour les ailes sauter au-dessus de Bogota","- - - - - - - - - - -","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",107,"Failed"
"Sportsman [[Jhonathan]] Florez [[jumped]] from a [[helicopter]] above Bogota, the capital of Colombia, on Thursday.","Sportsman [[Јhonathan]] Florez [[jumрeԁ]] from a [[helіcopter]] above Bogota, the capital of Colombia, on Thursday.",19,112,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le président colombien, Josep Borrell, a annoncé jeudi que son pays accueillerait une conférence de presse à l'occasion de la Journée internationale de la femme.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",107,"Failed"
"Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at 160km/h. The [[sanctuary]] is [[located]] [[at]] an [[altitude]] of over 3000 meters and numerous spectators had gathered there to watch his exploit.","Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at 160km/h. The [[sаnctuarу]] is [[locatеd]] [[аt]] an [[altіtude]] of over 3000 meters and numerous spectators had gathered there to watch his exploit.",108,175,"Vêtu d'un costume d'aile, il a survolé le célèbre sanctuaire de Monserrate à 160 km / h. Le sanctuaire est situé à plus de 3000 mètres d'altitude et de nombreux spectateurs s'y étaient rassemblés pour assister à son exploit.","Le sаnctuarу est locatеd аt an altіtude of over 3000 meters and numerous spectators had gathered there to watch his exploit.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",107,"Failed"
"A [[black]] [[box]] in [[your]] car?","A [[blасk]] [[bοx]] in [[yοur]] car?",1,26,"Une boîte noire dans votre voiture ?","A blасk bοx in yοur car ?","Une boîte noire dans votre voiture ?",107,"Failed"
"As America's road planners struggle to find the [[cash]] to mend a crumbling [[highway]] [[system,]] many are beginning to see a solution in a little black box that fits neatly by the [[dashboard]] of [[your]] car.","As America's road planners struggle to find the [[casһ]] to mend a crumbling [[hіghway]] [[syѕtem,]] many are beginning to see a solution in a little black box that fits neatly by the [[dasһboard]] of [[yοur]] car.",114,169,"Alors que les planificateurs routiers américains s'efforcent de trouver l'argent nécessaire pour réparer un système routier en délabrement, beaucoup commencent à voir une solution dans une petite boîte noire qui s'adapte parfaitement au tableau de bord de votre voiture.","Alors que les planificateurs routiers américains luttent pour trouver le moyen de réparer un système qui s'effondre, beaucoup commencent à voir une solution dans une petite boîte noire qui convient parfaitement au conseil d'administration de yοur car.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",107,"Failed"
"The [[devices,]] which track every mile a motorist drives and transmit that information to bureaucrats, are at the [[center]] of a controversial attempt in Washington [[and]] state planning offices to overhaul the [[outdated]] system for funding America's major roads.","The [[deviсes,]] which track every mile a motorist drives and transmit that information to bureaucrats, are at the [[cеnter]] of a controversial attempt in Washington [[anԁ]] state planning offices to overhaul the [[οutdateԁ]] system for funding America's major roads.",95,217,"Ces dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent cette information aux bureaucrates, sont au centre d'une tentative controversée à Washington et dans les bureaux de planification de l ""État visant à réviser le système désuet de financement des grands axes routiers américains.","The deviсes, which track every mile a motorist drive and transmit that information to bureaucrats, are at the cеnter of a controversial attempt in Washington and the state planning offices to overhaul the οutdateBus system for funding America's major roads.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",107,"Failed"
"The [[usually]] dull arena of highway [[planning]] has [[suddenly]] spawned intense [[debate]] and [[colorful]] alliances.","The [[uѕually]] dull arena of highway [[plаnning]] has [[suԁdenly]] spawned intense [[debаte]] and [[colοrful]] alliances.",69,105,"L'arène généralement terne de la planification routière a soudainement donné lieu à d'intenses débats et à des alliances colorées.","L'arГЁne uѕuually terne du plаnning routier a crГ © Г © pour ainsi dire des alliances intenses debаte et colοrful.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",107,"Failed"
"Libertarians have joined environmental [[groups]] in lobbying [[to]] allow government to use the little [[boxes]] to keep track of the miles you drive, [[and]] possibly where you drive them - [[then]] use the information to draw up a tax bill.","Libertarians have joined environmental [[grοups]] in lobbying [[tο]] allow government to use the little [[boxeѕ]] to keep track of the miles you drive, [[аnd]] possibly where you drive them - [[thеn]] use the information to draw up a tax bill.",123,183,"Les libertaires se sont joints à des groupes environnementaux pour faire pression sur le gouvernement afin qu'il utilise les petites boîtes pour faire le suivi des kilomètres parcourus, et peut-être même de l'endroit où vous les conduisez - puis qu'il utilise l'information pour rédiger une facture fiscale.","Les Libertariens se sont joints à des groupes de défense de l'environnement pour faire pression sur le gouvernement afin qu'il utilise la petite boîte pour suivre les kilomètres parcourus, et peut-être même l'endroit où vous les conduisez.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",107,"Failed"
"[[The]] tea [[party]] [[is]] aghast.","[[Τһе]] tea [[pаrty]] [[iѕ]] aghast.",17,63,"La fête du thé est effrayée.","Sep / Oct Les enfants et les troubles du sommeil Juillet / Août Utilisez CPAP","Le Tea Party est atterré.",107,"Failed"
"The American Civil [[Liberties]] Union is [[deeply]] concerned, too, raising a variety of [[privacy]] [[issues.]]","The American Civil [[Libertieѕ]] Union is [[deеply]] concerned, too, raising a variety of [[рrivacу]] [[issuеs.]]",40,92,"L'American Civil Liberties Union est elle aussi profondément préoccupée par diverses questions de protection de la vie privée.","L'Union Américaine de Libertés Civiles est également dédaignée, soulevant une variété de questions рrivacу.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",107,"Failed"
"[[And]] [[while]] Congress can't agree on [[whether]] to [[proceed,]] several states [[are]] not waiting.","[[Anԁ]] [[whіle]] Congress can't agree on [[whetһer]] to [[proсeed,]] several states [[arе]] not waiting.",77,101,"Et même si le Congrès ne parvient pas à s'entendre sur l'opportunité d'aller de l'avant, plusieurs États n'attendent pas.","AnЃwhіle Congress can't agree on whetlings to proсeed, several states arе not waiting.","Et tandis que les membres du Congrès n'arrivent pas à se mettre d'accord pour savoir s'il faut continuer, plusieurs États n'ont pas attendu.",107,"Failed"
"They are exploring [[how,]] [[over]] the next [[decade,]] [[they]] can move to a [[system]] in which drivers pay per mile of road they roll over.","They are exploring [[hοw,]] [[οver]] the next [[decаde,]] [[theу]] can move to a [[sуstem]] in which drivers pay per mile of road they roll over.",58,106,"Ils étudient comment, au cours de la prochaine décennie, ils pourraient passer à un système dans lequel les conducteurs paieraient le kilomètre de route qu'ils roulent.","Ils explorent hοw, οver the next decаde, ils peuvent se déplacer vers un sуstem dans lequel les conducteurs paient par kilomètre de route qu'ils retournent.","Ils cherchent comment, au cours de la prochaine décennie, ils pourront passer à un système permettant aux conducteurs de payer en fonction du nombre de miles parcourus.",107,"Failed"
"[[Thousands]] of motorists have already taken the black boxes, some of [[which]] have [[GPS]] monitoring, for a [[test]] drive.","[[Tһοusands]] of motorists have already taken the black boxes, some of [[whіch]] have [[GΡS]] monitoring, for a [[tеst]] drive.",45,114,"Des milliers d'automobilistes ont déjà pris les boîtes noires, dont certaines sont équipées d'un système de surveillance GPS, pour un essai routier.","TΣοusands of motorists have already taken the black boxes, some of whіch have GΡS monitoring, for a tеst drive.","Des milliers d'automobilistes ont déjà embarqué ces boîtes noires, parfois équipées d'un système de surveillance par GPS, pour une virée expérimentale.",107,"Failed"
