"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[rotteen]] so im not very ambitious right now",0.0002233467239420861,1.9973461627960205,"tensor([9.9889e-01, 2.2335e-04, 2.2042e-04, 2.9064e-04, 1.7530e-04, 1.9613e-04])","tensor([4.5382e-04, 9.9735e-01, 5.3136e-04, 9.3713e-04, 4.5978e-04, 2.7177e-04])",0,44,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[shiYtty]]",0.00018593299319036305,1.777503490447998,"tensor([9.9903e-01, 1.8593e-04, 1.7787e-04, 2.8751e-04, 1.7638e-04, 1.4374e-04])","tensor([0.0098, 0.7775, 0.1969, 0.0038, 0.0090, 0.0030])",0,44,"Successful"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[asham?ed]] with her",0.00018976713181473315,1.9388054609298706,"tensor([9.9904e-01, 1.8977e-04, 2.0362e-04, 2.2880e-04, 1.8944e-04, 1.4648e-04])","tensor([5.0474e-02, 9.3881e-01, 6.5298e-03, 2.9475e-03, 9.0562e-04, 3.3734e-04])",0,44,"Successful"
"i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than [[when]] i arrived","i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than [[whe$n]] i arrived",1.9988312721252441,1.9988658428192139,"tensor([2.8065e-04, 9.9883e-01, 3.1583e-04, 1.7378e-04, 2.1951e-04, 1.7901e-04])","tensor([2.6991e-04, 9.9887e-01, 3.2431e-04, 1.6574e-04, 2.0495e-04, 1.6916e-04])",1,24,"Successful"
"i was feeling a little [[vain]] when i did this one","i was feeling a little [[vXain]] when i did this one",0.0002151131775463,1.9894165992736816,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([3.0726e-03, 9.8942e-01, 2.1391e-03, 1.1511e-03, 3.5279e-03, 6.9267e-04])",0,44,"Successful"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[guncomfortable]]",0.0002356303739361465,1.9988269805908203,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([3.0983e-04, 9.9883e-01, 2.7997e-04, 2.0861e-04, 2.1395e-04, 1.6060e-04])",4,44,"Successful"
"i felt [[anger]] when at the end of a telephone call","i felt [[angeer]] when at the end of a telephone call",0.00032698435825295746,0.06831946223974228,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0041, 0.0683, 0.0018, 0.0397, 0.8782, 0.0079])",3,44,"Failed"
"i explain why i clung to a relationship with a boy who was [[in]] many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was [[din]] many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.9884799718856812,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([6.3316e-04, 9.8848e-01, 9.8473e-03, 3.8783e-04, 2.6583e-04, 3.8594e-04])",1,44,"Successful"
"i like to have [[the]] same breathless feeling as a reader eager to see what will happen next","i like to have [[Tthe]] same breathless feeling as a reader eager to see what will happen next",1.998382329940796,1.998774766921997,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.4919e-04, 9.9877e-01, 3.7174e-04, 1.3668e-04, 2.1684e-04, 3.5080e-04])",1,24,"Successful"
"i jest i feel grumpy tired [[and]] pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel grumpy tired [[aQnd]] pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.000299456442007795,0.0003068808000534773,"tensor([5.1933e-04, 2.9946e-04, 2.3063e-04, 9.9810e-01, 6.6147e-04, 1.9367e-04])","tensor([5.3279e-04, 3.0688e-04, 2.3085e-04, 9.9809e-01, 6.5317e-04, 1.9035e-04])",3,24,"Failed"
"i don t feel particularly [[agitated]]","i don t feel particularly [[avgitated]]",0.0007531018927693367,1.9988619089126587,"tensor([6.8675e-04, 7.5310e-04, 5.0794e-04, 8.9877e-01, 9.8438e-02, 8.4421e-04])","tensor([2.3375e-04, 9.9886e-01, 4.2756e-04, 1.3184e-04, 1.5960e-04, 1.8538e-04])",4,44,"Successful"
"i feel beautifully [[emotional]] knowing that these women of whom i knew just a handful were holding me and my baba on our journey","i feel beautifully [[emotionial]] knowing that these women of whom i knew just a handful were holding me and my baba on our journey",0.00022547534899786115,1.9989593029022217,"tensor([9.9880e-01, 2.2548e-04, 2.4174e-04, 1.6844e-04, 4.4609e-04, 1.1797e-04])","tensor([1.5840e-04, 9.9896e-01, 4.8575e-04, 9.0330e-05, 9.3592e-05, 2.1252e-04])",0,44,"Successful"
"i pay attention it deepens into a feeling of being invaded and [[helpless]]","i pay attention it deepens into a feeling of being invaded and [[helpleNss]]",0.0005415725754573941,0.0023578719701617956,"tensor([3.9397e-02, 5.4157e-04, 5.1026e-04, 1.2539e-03, 9.5558e-01, 2.7139e-03])","tensor([0.0037, 0.0024, 0.0013, 0.3140, 0.6753, 0.0034])",4,44,"Failed"
"i just feel extremely [[comfortable]] with the group of people that i dont even need to hide myself","i just feel extremely [[coXmfortable]] with the group of people that i dont even need to hide myself",1.9985820055007935,1.9987132549285889,"tensor([2.8080e-04, 9.9858e-01, 2.5733e-04, 1.9271e-04, 3.4548e-04, 3.4159e-04])","tensor([2.9723e-04, 9.9871e-01, 2.7409e-04, 1.5477e-04, 2.4292e-04, 3.1782e-04])",1,24,"Successful"
"i find myself in the odd position of feeling [[supportive]] of","i find myself in the odd position of feeling [[suppo?rtive]] of",0.0015439321286976337,1.9866747856140137,"tensor([7.9285e-04, 1.5439e-03, 9.9514e-01, 6.8580e-04, 8.0984e-04, 1.0307e-03])","tensor([0.0010, 0.9867, 0.0011, 0.0012, 0.0051, 0.0049])",2,44,"Successful"
"i was feeling as [[heartbroken]] as im sure katniss was","i was feeling as [[heartbrok5en]] as im sure katniss was",0.0002178135036956519,1.9989110231399536,"tensor([9.9902e-01, 2.1781e-04, 1.8627e-04, 1.5515e-04, 2.8435e-04, 1.3436e-04])","tensor([2.0389e-04, 9.9891e-01, 4.2923e-04, 1.7514e-04, 1.6542e-04, 1.1527e-04])",0,44,"Successful"
