"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling [[rather]] [[rotten]] so im not very ambitious right now","im feeling [[rathe‭⁦‮⁦]] [[⁩⁦r⁩‬⁩‬rotten]] so im not very ambitious right now",4.030646232422441e-05,1.977508306503296,"tensor([9.9975e-01, 4.0306e-05, 1.1920e-05, 2.0606e-05, 1.5631e-04, 1.7960e-05])","tensor([3.3242e-03, 9.7751e-01, 2.4426e-03, 1.0006e-02, 6.4919e-03, 2.2704e-04])",0,23,"Successful"
"im updating my blog because i [[feel]] [[shitty]]","im updating my blog because i [[fee‭⁦‮⁦]] [[⁩⁦l⁩‬⁩‬shitty]]",2.7190622859052382e-05,0.22495396435260773,"tensor([9.9972e-01, 2.7191e-05, 8.8058e-06, 2.1755e-05, 2.0723e-04, 1.1828e-05])","tensor([0.4912, 0.2250, 0.0044, 0.0288, 0.1606, 0.0901])",0,23,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[a‭⁦‮⁦h⁩⁦s⁩‬⁩‬amed]] with her",2.3102042177924886e-05,0.03181532397866249,"tensor([9.9977e-01, 2.3102e-05, 1.2730e-05, 3.4601e-05, 1.5415e-04, 8.9587e-06])","tensor([0.2366, 0.0318, 0.3829, 0.1385, 0.0805, 0.1297])",0,23,"Failed"
"i left with my [[bouquet]] of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived","i left with my [[b‭⁦‮⁦u⁩⁦o⁩‬⁩‬quet]] of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived",1.9997270107269287,1.9997611045837402,"tensor([6.6769e-05, 9.9973e-01, 1.4637e-04, 1.5842e-05, 3.7129e-05, 6.8256e-06])","tensor([7.4823e-05, 9.9976e-01, 9.3729e-05, 1.8446e-05, 4.4864e-05, 7.1844e-06])",1,13,"Successful"
"i was feeling a little [[vain]] [[when]] i did this one","i was feeling a little [[vai‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬when]] i did this one",5.031799082644284e-05,0.019445030018687248,"tensor([9.9934e-01, 5.0318e-05, 8.1746e-06, 1.8622e-05, 5.6251e-04, 1.8839e-05])","tensor([0.8250, 0.0194, 0.0079, 0.0126, 0.1160, 0.0190])",0,23,"Failed"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[unc‭⁦‮⁦m⁩⁦o⁩‬⁩‬fortable]]",6.058475992176682e-05,0.0009207987459376454,"tensor([8.2998e-05, 6.0585e-05, 8.3155e-06, 5.8810e-04, 9.9924e-01, 2.4015e-05])","tensor([1.1009e-01, 9.2080e-04, 3.8571e-05, 3.7171e-04, 8.8844e-01, 1.4023e-04])",4,23,"Failed"
"i felt anger when at the end of a [[telephone]] call","i felt anger when at the end of a [[telepho‭⁦‮⁦e⁩⁦n⁩‬⁩‬]] call",8.333186997333542e-05,0.0005867525469511747,"tensor([1.4382e-03, 8.3332e-05, 2.2624e-05, 9.9480e-01, 3.6150e-03, 4.0268e-05])","tensor([2.0246e-02, 5.8675e-04, 1.3797e-04, 3.1872e-01, 6.5975e-01, 5.5938e-04])",3,18,"Failed"
"i explain why i clung to a relationship with a boy who was in many ways immature and [[uncommitted]] [[despite]] the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and [[uncommitted‭⁦‮⁦d⁩⁦]] [[⁩‬⁩‬espite]] the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.8393957614898682,1.98032546043396,"tensor([1.6927e-03, 8.3940e-01, 1.5257e-01, 7.0803e-04, 7.4819e-04, 4.8844e-03])","tensor([3.1172e-04, 9.8033e-01, 1.8131e-02, 2.2069e-04, 1.6897e-04, 8.4182e-04])",1,23,"Successful"
"i like to have the same breathless feeling as a reader eager to [[see]] [[what]] will happen next","i like to have the same breathless feeling as a reader eager to [[see‭⁦‮⁦w⁩⁦]] [[⁩‬⁩‬hat]] will happen next",1.999565839767456,1.9996565580368042,"tensor([1.2396e-05, 9.9957e-01, 2.9278e-04, 1.3838e-05, 3.2255e-05, 8.2910e-05])","tensor([1.2163e-05, 9.9966e-01, 2.4131e-04, 1.2978e-05, 2.3649e-05, 5.3385e-05])",1,13,"Successful"
"i jest i feel [[grumpy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel [[grum‭⁦‮⁦y⁩⁦p⁩‬⁩‬]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0001481705839978531,0.0017597617115825415,"tensor([1.1465e-03, 1.4817e-04, 4.1268e-05, 9.9841e-01, 2.0743e-04, 4.3336e-05])","tensor([2.7502e-02, 1.7598e-03, 4.4067e-04, 9.6859e-01, 1.3090e-03, 3.9424e-04])",3,23,"Failed"
