"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"SOCCER- JAPAN GET [[LUCKY]] [[WIN,]] [[CHINA]] [[IN]] [[SURPRISE]] DEFEAT.","SOCCER- JAPAN GET [[LUC‭⁦‮⁦Y⁩⁦K⁩‬⁩‬]] [[WIN,‭⁦‮⁦C⁩⁦]] [[⁩‬⁩‬HINA]] [[I‭⁦‮⁦]] [[⁩⁦N⁩‬⁩‬SURPRISE]] DEFEAT.",0.0,0.8309672474861145,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9950999617576599,
    ""index"": 6,
    ""word"": ""J"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9684495329856873,
    ""index"": 7,
    ""word"": ""##AP"",
    ""start"": 9,
    ""end"": 11
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9932600855827332,
    ""index"": 8,
    ""word"": ""##AN"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.5412904620170593,
    ""index"": 18,
    ""word"": ""CH"",
    ""start"": 29,
    ""end"": 31
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.5053945183753967,
    ""index"": 19,
    ""word"": ""##IN"",
    ""start"": 31,
    ""end"": 33
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.764613926410675,
    ""index"": 20,
    ""word"": ""##A"",
    ""start"": 33,
    ""end"": 34
  }
]","[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9950182437896729,
    ""index"": 6,
    ""word"": ""J"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9730981588363647,
    ""index"": 7,
    ""word"": ""##AP"",
    ""start"": 9,
    ""end"": 11
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9922366738319397,
    ""index"": 8,
    ""word"": ""##AN"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8309672474861145,
    ""index"": 11,
    ""word"": ""L"",
    ""start"": 18,
    ""end"": 19
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.4731634557247162,
    ""index"": 12,
    ""word"": ""##UC"",
    ""start"": 19,
    ""end"": 21
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.48938706517219543,
    ""index"": 13,
    ""word"": ""##Y"",
    ""start"": 25,
    ""end"": 26
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9072675108909607,
    ""index"": 18,
    ""word"": ""C"",
    ""start"": 42,
    ""end"": 43
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.8690909147262573,
    ""index"": 19,
    ""word"": ""H"",
    ""start"": 50,
    ""end"": 51
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9273337125778198,
    ""index"": 20,
    ""word"": ""##IN"",
    ""start"": 51,
    ""end"": 53
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9460034370422363,
    ""index"": 21,
    ""word"": ""##A"",
    ""start"": 53,
    ""end"": 54
  }
]","NER",65,"Successful"
"Nadim [[Ladki]]","Nadim [[‭⁦‮⁦a⁩⁦L⁩‬⁩‬‭⁦‮⁦‭⁦‮⁦i⁩⁦k⁩‬⁩‬⁩⁦d⁩‬⁩‬]]",5.939424991607666,6.005039215087891,"[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996979236602783,
    ""index"": 1,
    ""word"": ""Na"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9929589033126831,
    ""index"": 2,
    ""word"": ""##di"",
    ""start"": 2,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9990008473396301,
    ""index"": 3,
    ""word"": ""##m"",
    ""start"": 4,
    ""end"": 5
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996190071105957,
    ""index"": 4,
    ""word"": ""La"",
    ""start"": 6,
    ""end"": 8
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9780004620552063,
    ""index"": 5,
    ""word"": ""##d"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9701476693153381,
    ""index"": 6,
    ""word"": ""##ki"",
    ""start"": 9,
    ""end"": 11
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9993767142295837,
    ""index"": 1,
    ""word"": ""Na"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9869791269302368,
    ""index"": 2,
    ""word"": ""##di"",
    ""start"": 2,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9978558421134949,
    ""index"": 3,
    ""word"": ""##m"",
    ""start"": 4,
    ""end"": 5
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9615671634674072,
    ""index"": 4,
    ""word"": ""a"",
    ""start"": 10,
    ""end"": 11
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.4192555248737335,
    ""index"": 5,
    ""word"": ""##L"",
    ""start"": 13,
    ""end"": 14
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8781460523605347,
    ""index"": 6,
    ""word"": ""##ik"",
    ""start"": 26,
    ""end"": 30
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7618584632873535,
    ""index"": 7,
    ""word"": ""##d"",
    ""start"": 36,
    ""end"": 37
  }
]","NER",65,"Successful"
"[[AL-AIN,]] United Arab [[Emirates]] 1996-12-06","[[AL-A‭⁦‮⁦N⁩⁦I⁩‬⁩‬,]] United Arab [[Emi‭⁦‮⁦t⁩⁦‭⁦‮⁦a⁩⁦r⁩‬⁩‬⁩‬⁩‬es]] 1996-12-06",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9984487295150757,
    ""index"": 1,
    ""word"": ""AL"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9677125215530396,
    ""index"": 2,
    ""word"": ""-"",
    ""start"": 2,
    ""end"": 3
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9955710768699646,
    ""index"": 3,
    ""word"": ""AI"",
    ""start"": 3,
    ""end"": 5
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9939817786216736,
    ""index"": 4,
    ""word"": ""##N"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997562766075134,
    ""index"": 6,
    ""word"": ""United"",
    ""start"": 8,
    ""end"": 14
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997227787971497,
    ""index"": 7,
    ""word"": ""Arab"",
    ""start"": 15,
    ""end"": 19
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998668432235718,
    ""index"": 8,
    ""word"": ""Emirates"",
    ""start"": 20,
    ""end"": 28
  }
]","[
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9971244931221008,
    ""index"": 1,
    ""word"": ""AL"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.6673720479011536,
    ""index"": 2,
    ""word"": ""-"",
    ""start"": 2,
    ""end"": 3
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9929386973381042,
    ""index"": 3,
    ""word"": ""AN"",
    ""start"": 3,
    ""end"": 9
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.993118405342102,
    ""index"": 4,
    ""word"": ""##I"",
    ""start"": 11,
    ""end"": 12
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9941564798355103,
    ""index"": 6,
    ""word"": ""United"",
    ""start"": 18,
    ""end"": 24
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9888157844543457,
    ""index"": 7,
    ""word"": ""Arab"",
    ""start"": 25,
    ""end"": 29
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9917289614677429,
    ""index"": 8,
    ""word"": ""Em"",
    ""start"": 30,
    ""end"": 32
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.8618165850639343,
    ""index"": 9,
    ""word"": ""##ita"",
    ""start"": 32,
    ""end"": 45
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9777377843856812,
    ""index"": 10,
    ""word"": ""##res"",
    ""start"": 47,
    ""end"": 58
  }
]","NER",35,"Failed"
"Japan began the defence [[of]] [[their]] Asian Cup title [[with]] a lucky 2-1 win against Syria in a Group C championship match on Friday.","Japan began the defence [[of‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬‭⁦‮⁦e⁩⁦h⁩‬⁩‬ir]] Asian Cup title [[wi‭⁦‮⁦h⁩⁦t⁩‬⁩‬]] a lucky 2-1 win against Syria in a Group C championship match on Friday.",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998020529747009,
    ""index"": 1,
    ""word"": ""Japan"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9762684106826782,
    ""index"": 7,
    ""word"": ""Asian"",
    ""start"": 33,
    ""end"": 38
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9974727034568787,
    ""index"": 8,
    ""word"": ""Cup"",
    ""start"": 39,
    ""end"": 42
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997666478157043,
    ""index"": 18,
    ""word"": ""Syria"",
    ""start"": 78,
    ""end"": 83
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998086094856262,
    ""index"": 1,
    ""word"": ""Japan"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.978008508682251,
    ""index"": 9,
    ""word"": ""Asian"",
    ""start"": 53,
    ""end"": 58
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9975098371505737,
    ""index"": 10,
    ""word"": ""Cup"",
    ""start"": 59,
    ""end"": 62
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998013377189636,
    ""index"": 22,
    ""word"": ""Syria"",
    ""start"": 108,
    ""end"": 113
  }
]","NER",35,"Failed"
"But China saw their [[luck]] [[desert]] them in the second match of the group, crashing to a [[surprise]] 2-0 [[defeat]] [[to]] newcomers Uzbekistan.","But China saw their [[luc‭⁦‮⁦]] [[⁩⁦k⁩‬⁩‬desert]] them in the second match of the group, crashing to a [[‭⁦‮⁦u⁩⁦s⁩‬⁩‬rprise]] 2-0 [[defeat‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬o]] newcomers Uzbekistan.",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998183846473694,
    ""index"": 2,
    ""word"": ""China"",
    ""start"": 4,
    ""end"": 9
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9996594190597534,
    ""index"": 27,
    ""word"": ""Uzbekistan"",
    ""start"": 118,
    ""end"": 128
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998074173927307,
    ""index"": 2,
    ""word"": ""China"",
    ""start"": 4,
    ""end"": 9
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997132420539856,
    ""index"": 33,
    ""word"": ""Uzbekistan"",
    ""start"": 148,
    ""end"": 158
  }
]","NER",35,"Failed"
"China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker [[Igor]] [[Shkvyrin]] took advantage of a misdirected defensive header [[to]] [[lob]] the ball over the advancing Chinese keeper and into [[an]] [[empty]] net.","China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker [[Igo‭⁦‮⁦]] [[⁩⁦r⁩‬⁩‬Shkvyrin]] took advantage of a misdirected defensive header [[to‭⁦‮⁦l⁩⁦]] [[⁩‬⁩‬ob]] the ball over the advancing Chinese keeper and into [[a‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬empty]] net.",5.492788791656494,7.757412910461426,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997816681861877,
    ""index"": 1,
    ""word"": ""China"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9979750514030457,
    ""index"": 18,
    ""word"": ""U"",
    ""start"": 93,
    ""end"": 94
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9894792437553406,
    ""index"": 19,
    ""word"": ""##z"",
    ""start"": 94,
    ""end"": 95
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.996921956539154,
    ""index"": 20,
    ""word"": ""##bek"",
    ""start"": 95,
    ""end"": 98
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9994372725486755,
    ""index"": 22,
    ""word"": ""Igor"",
    ""start"": 107,
    ""end"": 111
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9995008707046509,
    ""index"": 23,
    ""word"": ""S"",
    ""start"": 112,
    ""end"": 113
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9525272250175476,
    ""index"": 24,
    ""word"": ""##h"",
    ""start"": 113,
    ""end"": 114
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7246336340904236,
    ""index"": 25,
    ""word"": ""##k"",
    ""start"": 114,
    ""end"": 115
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8198036551475525,
    ""index"": 26,
    ""word"": ""##vy"",
    ""start"": 115,
    ""end"": 117
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9968863129615784,
    ""index"": 27,
    ""word"": ""##rin"",
    ""start"": 117,
    ""end"": 120
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.999038815498352,
    ""index"": 47,
    ""word"": ""Chinese"",
    ""start"": 205,
    ""end"": 212
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.999777615070343,
    ""index"": 1,
    ""word"": ""China"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9979992508888245,
    ""index"": 18,
    ""word"": ""U"",
    ""start"": 93,
    ""end"": 94
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9901670217514038,
    ""index"": 19,
    ""word"": ""##z"",
    ""start"": 94,
    ""end"": 95
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9967918992042542,
    ""index"": 20,
    ""word"": ""##bek"",
    ""start"": 95,
    ""end"": 98
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9979565143585205,
    ""index"": 22,
    ""word"": ""I"",
    ""start"": 107,
    ""end"": 108
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9992832541465759,
    ""index"": 23,
    ""word"": ""##go"",
    ""start"": 108,
    ""end"": 110
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9884606599807739,
    ""index"": 24,
    ""word"": ""r"",
    ""start"": 117,
    ""end"": 118
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9744812250137329,
    ""index"": 25,
    ""word"": ""##S"",
    ""start"": 122,
    ""end"": 123
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.974301815032959,
    ""index"": 26,
    ""word"": ""##h"",
    ""start"": 123,
    ""end"": 124
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8986176252365112,
    ""index"": 27,
    ""word"": ""##k"",
    ""start"": 124,
    ""end"": 125
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9390292167663574,
    ""index"": 28,
    ""word"": ""##vy"",
    ""start"": 125,
    ""end"": 127
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9852825403213501,
    ""index"": 29,
    ""word"": ""##rin"",
    ""start"": 127,
    ""end"": 130
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9989649057388306,
    ""index"": 50,
    ""word"": ""Chinese"",
    ""start"": 225,
    ""end"": 232
  }
]","NER",65,"Successful"
"Oleg [[Shatskiku]] made sure of the win in [[injury]] time, hitting an unstoppable [[left]] foot shot from just outside the area.","Oleg [[‭⁦‮⁦h⁩⁦S⁩‬⁩‬atskiku]] made sure of the win in [[inju‭⁦‮⁦y⁩⁦r⁩‬⁩‬]] time, hitting an unstoppable [[‭⁦‮⁦e⁩⁦l⁩‬⁩‬ft]] foot shot from just outside the area.",5.941165447235107,6.854975700378418,"[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9992066025733948,
    ""index"": 1,
    ""word"": ""Ole"",
    ""start"": 0,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9995224475860596,
    ""index"": 2,
    ""word"": ""##g"",
    ""start"": 3,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996681213378906,
    ""index"": 3,
    ""word"": ""S"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9951527118682861,
    ""index"": 4,
    ""word"": ""##hat"",
    ""start"": 6,
    ""end"": 9
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9679040908813477,
    ""index"": 5,
    ""word"": ""##ski"",
    ""start"": 9,
    ""end"": 12
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9797117114067078,
    ""index"": 6,
    ""word"": ""##ku"",
    ""start"": 12,
    ""end"": 14
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9990910291671753,
    ""index"": 1,
    ""word"": ""Ole"",
    ""start"": 0,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.999555766582489,
    ""index"": 2,
    ""word"": ""##g"",
    ""start"": 3,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9907922744750977,
    ""index"": 3,
    ""word"": ""h"",
    ""start"": 9,
    ""end"": 10
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9231420159339905,
    ""index"": 4,
    ""word"": ""##S"",
    ""start"": 12,
    ""end"": 13
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9937021732330322,
    ""index"": 5,
    ""word"": ""##ats"",
    ""start"": 17,
    ""end"": 20
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9834116697311401,
    ""index"": 6,
    ""word"": ""##ki"",
    ""start"": 20,
    ""end"": 22
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9652807116508484,
    ""index"": 7,
    ""word"": ""##ku"",
    ""start"": 22,
    ""end"": 24
  }
]","NER",65,"Successful"
"The former Soviet republic was playing in [[an]] [[Asian]] Cup finals tie for the [[first]] time.","The former Soviet republic was playing in [[a‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬‭⁦‮⁦s⁩⁦A⁩‬⁩‬ian]] Cup finals tie for the [[‭⁦‮⁦i⁩⁦f⁩‬⁩‬rst]] time.",0.0,0.0,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9985392093658447,
    ""index"": 3,
    ""word"": ""Soviet"",
    ""start"": 11,
    ""end"": 17
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9799860715866089,
    ""index"": 9,
    ""word"": ""Asian"",
    ""start"": 45,
    ""end"": 50
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9974246025085449,
    ""index"": 10,
    ""word"": ""Cup"",
    ""start"": 51,
    ""end"": 54
  }
]","[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.99857497215271,
    ""index"": 3,
    ""word"": ""Soviet"",
    ""start"": 11,
    ""end"": 17
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9886930584907532,
    ""index"": 9,
    ""word"": ""n"",
    ""start"": 50,
    ""end"": 51
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9862267374992371,
    ""index"": 10,
    ""word"": ""##s"",
    ""start"": 59,
    ""end"": 60
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9907813668251038,
    ""index"": 11,
    ""word"": ""##A"",
    ""start"": 62,
    ""end"": 63
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9843355417251587,
    ""index"": 12,
    ""word"": ""##ian"",
    ""start"": 67,
    ""end"": 70
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9965860843658447,
    ""index"": 13,
    ""word"": ""Cup"",
    ""start"": 71,
    ""end"": 74
  }
]","NER",35,"Failed"
"[[Despite]] winning the [[Asian]] [[Games]] title two years ago, Uzbekistan are in the finals as outsiders.","[[Despi‭⁦‮⁦e⁩⁦t⁩‬⁩‬]] winning the [[Asi‭⁦‮⁦n⁩⁦a⁩‬⁩‬]] [[Gam‭⁦‮⁦s⁩⁦e⁩‬⁩‬]] title two years ago, Uzbekistan are in the finals as outsiders.",0.0,2.950810432434082,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9735670685768127,
    ""index"": 4,
    ""word"": ""Asian"",
    ""start"": 20,
    ""end"": 25
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9971873164176941,
    ""index"": 5,
    ""word"": ""Games"",
    ""start"": 26,
    ""end"": 31
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997908473014832,
    ""index"": 11,
    ""word"": ""Uzbekistan"",
    ""start"": 53,
    ""end"": 63
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9992296695709229,
    ""index"": 1,
    ""word"": ""Des"",
    ""start"": 0,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9714226722717285,
    ""index"": 2,
    ""word"": ""##pie"",
    ""start"": 3,
    ""end"": 10
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9801581501960754,
    ""index"": 3,
    ""word"": ""##t"",
    ""start"": 12,
    ""end"": 13
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9149906635284424,
    ""index"": 6,
    ""word"": ""As"",
    ""start"": 30,
    ""end"": 32
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9785998463630676,
    ""index"": 7,
    ""word"": ""##ina"",
    ""start"": 32,
    ""end"": 41
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.8720502257347107,
    ""index"": 8,
    ""word"": ""G"",
    ""start"": 46,
    ""end"": 47
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.8751749396324158,
    ""index"": 9,
    ""word"": ""##ams"",
    ""start"": 47,
    ""end"": 54
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9162595272064209,
    ""index"": 10,
    ""word"": ""##e"",
    ""start"": 56,
    ""end"": 57
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998016953468323,
    ""index"": 16,
    ""word"": ""Uzbekistan"",
    ""start"": 83,
    ""end"": 93
  }
]","NER",65,"Successful"
"Two goals [[from]] defensive errors in the last six minutes [[allowed]] Japan to come from behind and collect all three points from their opening meeting [[against]] Syria.","Two goals [[f‭⁦‮⁦o⁩⁦r⁩‬⁩‬m]] defensive errors in the last six minutes [[a‭⁦‮⁦l⁩⁦l⁩‬⁩‬owed]] Japan to come from behind and collect all three points from their opening meeting [[aga‭⁦‮⁦n⁩⁦i⁩‬⁩‬st]] Syria.",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997974038124084,
    ""index"": 12,
    ""word"": ""Japan"",
    ""start"": 64,
    ""end"": 69
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998229146003723,
    ""index"": 27,
    ""word"": ""Syria"",
    ""start"": 154,
    ""end"": 159
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.999784529209137,
    ""index"": 12,
    ""word"": ""Japan"",
    ""start"": 84,
    ""end"": 89
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998008608818054,
    ""index"": 29,
    ""word"": ""Syria"",
    ""start"": 184,
    ""end"": 189
  }
]","NER",35,"Failed"
