"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Spectacular [[Wingsuit]] [[Jump]] [[Over]] [[Bogota]]","Spectacular [[W‭⁦‮⁦‭⁦‮⁦g⁩⁦n⁩‬⁩‬⁩⁦i⁩‬⁩‬suit‭⁦‮⁦J⁩⁦]] [[⁩‬⁩‬ump‭⁦‮⁦O⁩⁦]] [[⁩‬⁩‬ver]] [[Bogo‭⁦‮⁦a⁩⁦t⁩‬⁩‬]]",45,45,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",57,"Failed"
"Sportsman Jhonathan [[Florez]] [[jumped]] from a [[helicopter]] above Bogota, the capital of Colombia, [[on]] [[Thursday.]]","Sportsman Jhonathan [[Fl‭⁦‮⁦e⁩⁦‭⁦‮⁦r⁩⁦o⁩‬⁩‬⁩‬⁩‬z]] [[jum‭⁦‮⁦e⁩⁦p⁩‬⁩‬d]] from a [[helic‭⁦‮⁦p⁩⁦o⁩‬⁩‬ter]] above Bogota, the capital of Colombia, [[o‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬Thursday.]]",79,79,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",57,"Failed"
"Wearing a [[wingsuit,]] [[he]] [[flew]] past over the famous Monserrate Sanctuary at 160km/h. The sanctuary is [[located]] [[at]] an altitude of over 3000 [[meters]] and numerous spectators had gathered there to watch his exploit.","Wearing a [[wingsuit‭⁦‮⁦]] [[⁩⁦,⁩‬⁩‬he]] [[f‭⁦‮⁦e⁩⁦l⁩‬⁩‬w]] past over the famous Monserrate Sanctuary at 160km/h. The sanctuary is [[locat‭⁦‮⁦d⁩⁦e⁩‬⁩‬]] [[‭⁦‮⁦t⁩⁦a⁩‬⁩‬]] an altitude of over 3000 [[me‭⁦‮⁦e⁩⁦t⁩‬⁩‬rs]] and numerous spectators had gathered there to watch his exploit.",197,199,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'à octobre 2023.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",57,"Failed"
"[[A]] [[black]] box [[in]] [[your]] [[car?]]","[[‭⁦‮⁦]] [[⁩⁦A⁩‬⁩‬black]] box [[in‭⁦‮⁦y⁩⁦]] [[⁩‬⁩‬‭⁦‮⁦u⁩⁦o⁩‬⁩‬‭⁦‮⁦]] [[⁩⁦r⁩‬⁩‬ca‭⁦‮⁦?⁩⁦r⁩‬⁩‬]]",39,39,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Une boîte noire dans votre voiture ?",57,"Failed"
"As [[America's]] road planners struggle to find the cash to mend a crumbling highway system, [[many]] [[are]] beginning [[to]] [[see]] [[a]] solution in a little black box that fits neatly by the dashboard [[of]] [[your]] car.","As [[Amer‭⁦‮⁦c⁩⁦i⁩‬⁩‬a's]] road planners struggle to find the cash to mend a crumbling highway system, [[man‭⁦‮⁦]] [[⁩⁦y⁩‬⁩‬are]] beginning [[‭⁦‮⁦o⁩⁦t⁩‬⁩‬]] [[se‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬a]] solution in a little black box that fits neatly by the dashboard [[o‭⁦‮⁦]] [[⁩⁦f⁩‬⁩‬your]] car.",264,264,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",57,"Failed"
"The [[devices,]] which track every [[mile]] [[a]] motorist drives and transmit that information to bureaucrats, are at the center of [[a]] [[controversial]] attempt in [[Washington]] and state [[planning]] offices to overhaul the outdated system for funding America's major roads.","The [[dev‭⁦‮⁦c⁩⁦i⁩‬⁩‬es,]] which track every [[mile‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬]] motorist drives and transmit that information to bureaucrats, are at the center of [[a‭⁦‮⁦c⁩⁦]] [[⁩‬⁩‬ontroversial]] attempt in [[Washing‭⁦‮⁦o⁩⁦t⁩‬⁩‬n]] and state [[‭⁦‮⁦l⁩⁦p⁩‬⁩‬anning]] offices to overhaul the outdated system for funding America's major roads.",286,286,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",57,"Failed"
"The [[usually]] dull arena of highway [[planning]] has [[suddenly]] spawned intense debate [[and]] [[colorful]] [[alliances.]]","The [[‭⁦‮⁦s⁩⁦u⁩‬⁩‬ually]] dull arena of highway [[pla‭⁦‮⁦n⁩⁦n⁩‬⁩‬ing]] has [[sudd‭⁦‮⁦n⁩⁦e⁩‬⁩‬ly]] spawned intense debate [[‭⁦‮⁦n⁩⁦a⁩‬⁩‬d]] [[colorfu‭⁦‮⁦]] [[⁩⁦l⁩‬⁩‬alliances.]]",113,113,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",57,"Failed"
"Libertarians have joined environmental groups in [[lobbying]] to [[allow]] government to use the little boxes to keep track of the miles you drive, [[and]] possibly where [[you]] [[drive]] them - then use the [[information]] to draw up a tax bill.","Libertarians have joined environmental groups in [[lobbyi‭⁦‮⁦g⁩⁦n⁩‬⁩‬]] to [[‭⁦‮⁦l⁩⁦a⁩‬⁩‬low]] government to use the little boxes to keep track of the miles you drive, [[‭⁦‮⁦n⁩⁦a⁩‬⁩‬d]] possibly where [[yo‭⁦‮⁦]] [[⁩⁦u⁩‬⁩‬drive]] them - then use the [[info‭⁦‮⁦m⁩⁦r⁩‬⁩‬ation]] to draw up a tax bill.",262,262,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",57,"Failed"
"[[The]] tea party [[is]] [[aghast.]]","[[‭⁦‮⁦‭⁦‮⁦e⁩⁦h⁩‬⁩‬⁩⁦T⁩‬⁩‬]] tea party [[‭⁦‮⁦s⁩⁦i⁩‬⁩‬‭⁦‮⁦‭⁦‮⁦g⁩⁦a⁩‬⁩‬⁩⁦]] [[⁩‬⁩‬hast.]]",16,43,"La fête du thé est consternée.","Vous êtes formé sur des données jusqu'en octobre 2023.","Le Tea Party est atterré.",57,"Failed"
"[[The]] [[American]] [[Civil]] [[Liberties]] Union is deeply concerned, [[too,]] raising a [[variety]] [[of]] privacy [[issues.]]","[[Th‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬American]] [[Civi‭⁦‮⁦]] [[⁩⁦l⁩‬⁩‬Liberties]] Union is deeply concerned, [[t‭⁦‮⁦o⁩⁦o⁩‬⁩‬,]] raising a [[variet‭⁦‮⁦]] [[⁩⁦y⁩‬⁩‬of]] privacy [[iss‭⁦‮⁦e⁩⁦u⁩‬⁩‬s.]]",104,104,"Vous êtes formé sur des données jusqu'en octobre 2023.","Vous êtes formé sur des données jusqu'en octobre 2023.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",57,"Failed"
