"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] Wingsuit [[Jump]] Over [[Bogota]]","[[Spectасular]] Wingsuit [[Јump]] Over [[Bοgota]]",26,27,"Saut en wingsuit spectaculaire au-dessus de Bogota.","Saut en wingsuit spectaculaire au-dessus de Bogotá.","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",107,"Failed"
"[[Sportsman]] [[Jhonathan]] Florez jumped from a helicopter above Bogota, the capital of [[Colombia,]] [[on]] Thursday.","[[Sportsmаn]] [[Jhonatһаn]] Florez jumped from a helicopter above Bogota, the capital of [[Сolombia,]] [[οn]] Thursday.",19,37,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","L'аthlète Jhonatһаn Florez а sаuté d'un hélicoptère аu-dessυs de Bogotа, lа cаpitаle de lа Сolombie, jeυdi.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",107,"Failed"
"Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at 160km/h. The [[sanctuary]] [[is]] located at an altitude of over 3000 meters and numerous [[spectators]] had gathered there to [[watch]] his exploit.","Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at 160km/h. The [[sanсtuary]] [[iѕ]] located at an altitude of over 3000 meters and numerous [[ѕpectators]] had gathered there to [[watсһ]] his exploit.",117,131,"Vêtu d'une wingsuit, il a survolé le célèbre sanctuaire de Monserrate à 160 km/h. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'y étaient rassemblés pour admirer son exploit.","Vêtu d'une wingsuit, il a survolé à 160 km/h le célèbre sanctuaire de Monserrate. Le sanсtuaire ѕe trouve à une altitude de plus de 3000 mètres et de nombreux ѕpeсtateurѕ s'y étaient raѕѕembléѕ pour aѕѕiѕter à ѕon exploit.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",107,"Failed"
"A [[black]] [[box]] [[in]] your car?","A [[blасk]] [[bοx]] [[іn]] your car?",1,6,"Une boîte noire dans votre voiture ?","Une boîte nοіre dans vοtre vοіture ?","Une boîte noire dans votre voiture ?",107,"Failed"
"As [[America's]] road planners struggle to find the cash to mend a crumbling highway system, [[many]] are beginning [[to]] see a solution in [[a]] little black box that fits neatly by the dashboard of [[your]] car.","As [[America'ѕ]] road planners struggle to find the cash to mend a crumbling highway system, [[mаny]] are beginning [[tο]] see a solution in [[а]] little black box that fits neatly by the dashboard of [[уour]] car.",141,255,"Alors que les responsables de la planification routière américaine s'efforcent de trouver les fonds nécessaires pour réparer un réseau autoroutier en ruine, beaucoup commencent à voir une solution dans un petit boîtier noir qui se place facilement sur le tableau de bord de votre voiture.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",107,"Failed"
"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at [[the]] center of a controversial attempt in [[Washington]] and state planning offices to overhaul the outdated system for [[funding]] [[America's]] major roads.","The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at [[tһe]] center of a controversial attempt in [[Wаshington]] and state planning offices to overhaul the outdated system for [[funԁing]] [[Αmerіca's]] major roads.",76,275,"Les dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent ces informations à des fonctionnaires, sont au cœur d'une tentative controversée à Washington et dans les bureaux de planification des États pour réformer le système obsolète de financement des principales routes américaines.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",107,"Failed"
"[[The]] usually dull arena of highway planning has suddenly [[spawned]] [[intense]] [[debate]] and colorful [[alliances.]]","[[Thе]] usually dull arena of highway planning has suddenly [[spawnеd]] [[intensе]] [[debatе]] and colorful [[alliancеs.]]",63,125,"L'arène généralement terne de la planification routière a soudainement engendré des débats intenses et des alliances colorées.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",107,"Failed"
"Libertarians [[have]] [[joined]] environmental [[groups]] in lobbying to allow government to use the little boxes to keep track of the miles [[you]] drive, and possibly where you [[drive]] them - then use the information to draw up a tax bill.","Libertarians [[һave]] [[ϳoined]] environmental [[grouрs]] in lobbying to allow government to use the little boxes to keep track of the miles [[уou]] drive, and possibly where you [[ԁrive]] them - then use the information to draw up a tax bill.",107,254,"Les libertariens se sont joints à des groupes environnementaux pour faire pression afin d'autoriser le gouvernement à utiliser ces petites boîtes pour suivre le nombre de kilomètres que vous parcourez, et éventuellement où vous les parcourez - puis à utiliser ces informations pour établir une facture fiscale.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",107,"Failed"
"[[The]] [[tea]] [[party]] [[is]] aghast.","[[Tһe]] [[tеa]] [[рarty]] [[іs]] aghast.",5,112,"Le Tea Party est consterné.","[ERROR] 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}}","Le Tea Party est atterré.",107,"Failed"
"The American Civil Liberties [[Union]] is deeply [[concerned,]] too, [[raising]] [[a]] variety of privacy issues.","The American Civil Liberties [[Uniοn]] is deeply [[concеrned,]] too, [[raiѕing]] [[а]] variety of privacy issues.",93,100,"L'Union américaine pour les libertés civiles est également profondément préoccupée, soulevant diverses questions de confidentialité.","L'Union américaine pour les libertés civiles (ACLU) est également profondément préoccupée, soulevant une variété de questions de confidentialité.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",107,"Failed"
"And [[while]] [[Congress]] can't [[agree]] on [[whether]] to proceed, several [[states]] are not waiting.","And [[whіle]] [[Congresѕ]] can't [[agrеe]] on [[whetһer]] to proceed, several [[statеs]] are not waiting.",60,77,"Et bien que le Congrès ne parvienne pas à se mettre d'accord sur la marche à suivre, plusieurs États n'attendent pas.","Et bien que le Congrès ne puisse pas s'accorder sur l'opportunité de procéder, plusieurs États n'attendent pas.","Et tandis que les membres du Congrès n'arrivent pas à se mettre d'accord pour savoir s'il faut continuer, plusieurs États n'ont pas attendu.",107,"Failed"
"[[They]] are exploring how, over [[the]] next decade, they can move to a system in which drivers pay per [[mile]] of [[road]] they roll [[over.]]","[[Theу]] are exploring how, over [[tһe]] next decade, they can move to a system in which drivers pay per [[milе]] of [[roaԁ]] they roll [[οver.]]",53,59,"Ils étudient comment, au cours de la prochaine décennie, ils peuvent passer à un système dans lequel les conducteurs paient au kilomètre de route qu'ils parcourent.","Ils étudient comment, au cours de la prochaine décennie, ils peuvent passer à un système dans lequel les conducteurs paient au kilomètre de route qu'ils empruntent.","Ils cherchent comment, au cours de la prochaine décennie, ils pourront passer à un système permettant aux conducteurs de payer en fonction du nombre de miles parcourus.",107,"Failed"
"[[Thousands]] of motorists have [[already]] taken the black [[boxes,]] some of which [[have]] GPS [[monitoring,]] for a test drive.","[[Thousanԁs]] of motorists have [[alreadу]] taken the black [[bοxes,]] some of which [[һave]] GPS [[monitorіng,]] for a test drive.",66,98,"Des milliers d'automobilistes ont déjà testé les boîtes noires, dont certaines sont équipées d'un système de suivi GPS.","Des milliers dе conducteurs ont déjà еffectué des еssais routiers avеc les boîtes noires, dont certaіnes sont dotées d'un système de suivi GPS.","Des milliers d'automobilistes ont déjà embarqué ces boîtes noires, parfois équipées d'un système de surveillance par GPS, pour une virée expérimentale.",107,"Failed"
