"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] Jump Over [[Bogota]]","[[Spectaculm~ar]] [[xWingsuit]] Jump Over [[Bogotea]]",26,46,"Spectaculaire combinaison pour les ailes sauter au-dessus de Bogota","~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",170,"Failed"
"Sportsman Jhonathan [[Florez]] jumped from a [[helicopter]] [[above]] Bogota, the capital [[of]] Colombia, on Thursday.","Sportsman Jhonathan [[!Florez]] jumped from a [[heli%copter]] [[abovWe]] Bogota, the capital [[Zof]] Colombia, on Thursday.",19,113,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le chef de l'Etat colombien, Jhonathan, a annoncé jeudi que le président colombien, Helios Bogota, s'apprêtait à signer un accord de libre-échange avec la Chine.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",170,"Failed"
"[[Wearing]] a wingsuit, he flew past [[over]] the famous Monserrate Sanctuary at 160km/h. The sanctuary is located at an altitude of [[over]] 3000 meters and numerous spectators had gathered there to [[watch]] his exploit.","[[Wearin'g]] a wingsuit, he flew past [[oBver]] the famous Monserrate Sanctuary at 160km/h. The sanctuary is located at an altitude of [[ov,er]] 3000 meters and numerous spectators had gathered there to [[/watch]] his exploit.",108,161,"Vêtu d'un costume d'aile, il a survolé le célèbre sanctuaire de Monserrate à 160 km / h. Le sanctuaire est situé à plus de 3000 mètres d'altitude et de nombreux spectateurs s'y étaient rassemblés pour assister à son exploit.","Wearin'g a wingsuit, he flew over the famous Monserrate Sanctuary at 160km / h. The sanctuary is located at an altitude of ov, er 3000 meters and numerous spectators had gathered there to / watch his exploit.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",170,"Failed"
"A [[black]] box [[in]] [[your]] car?","A [[bsla^ck]] box [[in!]] [[yo8ur]] car?",1,29,"Une boîte noire dans votre voiture ?","A bsla ^ ck box in ! yo8ur car ?","Une boîte noire dans votre voiture ?",170,"Failed"
"As America's road planners struggle to find [[the]] cash to [[mend]] a crumbling [[highway]] system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","As America's road planners struggle to find [[tjhe]] cash to [[men%_d]] a crumbling [[highw?ay]] system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.",114,154,"Alors que les planificateurs routiers américains s'efforcent de trouver l'argent nécessaire pour réparer un système routier en délabrement, beaucoup commencent à voir une solution dans une petite boîte noire qui s'adapte parfaitement au tableau de bord de votre voiture.","Alors que les planificateurs routiers américains luttent pour trouver un système de tjhe cash pour les hommes % _ d un système de highw ? ay qui s'effondre, beaucoup commencent à voir une solution dans une petite boîte noire qui s'intègre parfaitement au tableau de bord de votre voiture.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",170,"Failed"
"The devices, which track every mile a motorist drives and transmit that [[information]] to [[bureaucrats,]] are at the center of a controversial [[attempt]] in Washington and state planning offices to overhaul the outdated system for funding [[America's]] major roads.","The devices, which track every mile a motorist drives and transmit that [[infoQrmation]] to [[bureaucrats,i]] are at the center of a controversial [[attemptf]] in Washington and state planning offices to overhaul the outdated system for funding [[ATmerica's]] major roads.",95,216,"Ces dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent cette information aux bureaucrates, sont au centre d'une tentative controversée à Washington et dans les bureaux de planification de l ""État visant à réviser le système désuet de financement des grands axes routiers américains.","The devices, which track every mile a motorist drives and transmit that infoQrmation to bureaucrats, i are at the center of a controversial attempt in Washington and state planning offices to overhaul the obsoldated system for funding ATmerica's major roads.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",170,"Failed"
"The [[usually]] dull arena of highway [[planning]] has suddenly spawned intense debate and colorful [[alliances.]]","The [[usu?ally]] dull arena of highway [[pcl(anning]] has suddenly spawned intense debate and colorful [[all)iances.]]",69,105,"L'arène généralement terne de la planification routière a soudainement donné lieu à d'intenses débats et à des alliances colorées.","The usu ? ally dull arena of highway pcl (anning has suddenly spawned intense debate and colorful all) iances.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",170,"Failed"
"[[Libertarians]] have joined environmental groups in lobbying to allow government to use the [[little]] boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax [[bill.]]","[[Lib<ertarians]] have joined environmental groups in lobbying to allow government to use the [[liVkttle]] boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax [[billM.]]",123,193,"Les libertaires se sont joints à des groupes environnementaux pour faire pression sur le gouvernement afin qu'il utilise les petites boîtes pour faire le suivi des kilomètres parcourus, et peut-être même de l'endroit où vous les conduisez - puis qu'il utilise l'information pour rédiger une facture fiscale.","Lib < ertarians have joined environmental groups in lobbying to allow government to use the liVkttle boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax billM.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",170,"Failed"
"[[The]] [[tea]] party is [[aghast.]]","[[Thee.]] [[teaW]] party is [[a1ghast.]]",17,30,"La fête du thé est effrayée.","La fête du Travail a lieu tous les jours.","Le Tea Party est atterré.",170,"Failed"
"The American [[Civil]] Liberties Union is [[deeply]] [[concerned,]] too, raising a variety of privacy issues.","The American [[Civilm]] Liberties Union is [[deeplXy]] [[concerbn'ed,]] too, raising a variety of privacy issues.",40,88,"L'American Civil Liberties Union est elle aussi profondément préoccupée par diverses questions de protection de la vie privée.","La Civilm Liberties Union des États-Unis a également fait l'objet d'un concert de deeplXy, soulevant diverses questions relatives à la protection de la vie privée.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",170,"Failed"
