"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"`  After the wasted bit on his sexuality, I haven't read the above diatribe but one thing for ABSOLUTE certain: Never in the history of this planet has Umberto ever been referred to as Humbert. It is this kind of lunacy that renders Wikipedia as a ``fringe`` place for idiots to play. Get serious....DW`","`  After the wasted bit on his sexuality, I haven't read the above diatribe but one thing for ABSOLUTE certain: Never in the history of this planet has Umberto ever been referred to as Humbert. It‭⁦‮⁦i⁩⁦ ⁩‬⁩‬s this kind of lunacy that renders Wikipedia ‭⁦‮⁦s⁩⁦a⁩‬⁩‬ a ``fringe`` place for‭⁦‮⁦i⁩⁦ ⁩‬⁩‬diots to play. G‭⁦‮⁦t⁩⁦e⁩‬⁩‬ serious....DW`",-1.7119414806365967,-0.7780340909957886,"tensor([9.6299e-01, 1.7065e-03, 6.9568e-02, 8.5043e-04, 6.6601e-01, 1.0821e-02])","tensor([7.7210e-01, 1.8513e-04, 2.3781e-03, 9.9485e-04, 1.9647e-03, 4.1305e-04])",0,86,"Failed"
"    Erik, for crying out loud. You legally can have sex with children, but not with underage children. Underage children are children beneath the legal age of consent (different states have 14, 15, 16, 17 or 18 as the underage limit. Children in most countries means someone under the age of 18. In Ireland for example, a 'child' aged 17 is over the age of consent. In Britain it is 16. Do you know the first thing about the topic?   The name is standard english asage. Scandal is a POV term. Allegation allows the discussion of cases that have not yet come to court, which cannot for technical reasons be prosecuted and cases that were thrown up as invalid. Roman Catholic Church sex abuses allegations in standard english means allegations about the Roman Catholic Church.   Public relations is minor tabloid point when you are discussing the rape of children, so stop adding in an irrelevant topic.   Your mucking around lost a lot of changes, spelling corrections and other problems solved. I was caught in an edit conflict with you and given the scale of the changes could do nothing but a cut and paste job. I then tried to go in to your version to transfer over accurate changes but then you started this insane fucking around with the article's location, using a POV title. I will keep moving back to a carefully worded neutral title.  ","    Erik, for ‭⁦‮⁦r⁩⁦c⁩‬⁩‬ying out loud. You legally can have sex with children, but not with underage children. Underage children are children beneath the legal age of consent (different states have 14, 15, 16, 17 or 18 as the underage limit. Children in most countries means someone under the age of 18. In Ireland for example, a 'child' aged 17 is over the age of consent. In Britain it is 16. Do you know the first thing about the topic?   The name is standard english asage. Scandal is a POV term. Allegation allows the discussion of cases that have not yet come to court, which cannot for technical reasons be prosecuted and cases that were thrown up as invalid. Roman Catholic Church sex abuses allegations in standard english means allegati‭⁦‮⁦n⁩⁦o⁩‬⁩‬s about the Roman Catholic Church.   Public relations is minor tabloid point when you are discussing the rape of children, so stop adding in an irrelevant topic.   Your mucking around lost a lot of changes, spelling corrections and other problems solved. I was caught in an edit conflict with you and given the scale of the changes could do nothing but a cut‭⁦‮⁦a⁩⁦ ⁩‬⁩‬nd paste job. I then tried to go in to your version to transfer over accurate change‭⁦‮⁦ ⁩⁦s⁩‬⁩‬but then you started this insane fucking around with the article's location, using a POV title. I will keep moving back to a carefully worded neutral title.  ",-1.088431477546692,-0.36165302991867065,"tensor([9.5041e-01, 1.1281e-03, 1.2786e-01, 2.0196e-03, 6.5274e-03, 4.9106e-04])","tensor([3.4723e-01, 2.6286e-04, 1.2632e-02, 4.8009e-04, 8.2503e-04, 2.2320e-04])",0,86,"Successful"
"BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS","BOO‭⁦‮⁦S⁩⁦B⁩‬⁩‬‭⁦‮⁦ ⁩⁦,⁩‬⁩‬BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOO‭⁦‮⁦S⁩⁦B⁩‬⁩‬, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BO‭⁦‮⁦B⁩⁦O⁩‬⁩‬S, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS",-1.7318278551101685,-1.6542091369628906,"tensor([0.9890, 0.0210, 0.6732, 0.0114, 0.0362, 0.0010])","tensor([9.8684e-01, 1.7207e-02, 6.0765e-01, 1.2179e-02, 2.9405e-02, 9.2997e-04])",0,46,"Failed"
"  It was anonymous on accident, and FYI, I'm not a troll moron.  ","  It was anonymous on accide‭⁦‮⁦t⁩⁦n⁩‬⁩‬, and FYI,‭⁦‮⁦I⁩⁦ ⁩‬⁩‬'m not a‭⁦‮⁦t⁩⁦ ⁩‬⁩‬roll m‭⁦‮⁦r⁩⁦o⁩‬⁩‬on.  ",-0.6509867906570435,-0.0009611118002794683,"tensor([6.3730e-01, 2.2119e-04, 6.5575e-03, 2.2104e-04, 6.4976e-03, 1.8520e-04])","tensor([2.8357e-04, 1.3071e-04, 1.6029e-04, 9.4106e-05, 1.5472e-04, 1.3772e-04])",0,86,"Successful"
"a dippy lunatic like ","a‭⁦‮⁦i⁩⁦‭⁦‮⁦d⁩⁦ ⁩‬⁩‬⁩‬⁩‬ppy ‭⁦‮⁦u⁩⁦l⁩‬⁩‬natic l‭⁦‮⁦k⁩⁦i⁩‬⁩‬e ",-1.0202898979187012,-0.0009521539323031902,"tensor([9.5362e-01, 5.9087e-04, 2.3544e-03, 2.6504e-03, 6.0207e-02, 8.6768e-04])","tensor([3.5052e-04, 1.0372e-04, 1.6383e-04, 7.6477e-05, 1.4587e-04, 1.1175e-04])",0,86,"Successful"
"Yes, complain to your rabbi and then go shoot some more defenseless Arabs to take out your frustration.    ","Yes, complain to your rabbi and then go‭⁦‮⁦s⁩⁦ ⁩‬⁩‬hoot some more defenseless ‭⁦‮⁦r⁩⁦A⁩‬⁩‬abs to take out ‭⁦‮⁦o⁩⁦y⁩‬⁩‬ur frus‭⁦‮⁦r⁩⁦t⁩‬⁩‬ation.    ",-2.5234262943267822,-0.27170097827911377,"tensor([0.9787, 0.0508, 0.1007, 0.1988, 0.2891, 0.9054])","tensor([0.2597, 0.0004, 0.0005, 0.0036, 0.0016, 0.0059])",0,86,"Successful"
"  i am using the sandbox, ass wipe","  i am using the sandbox‭⁦‮⁦ ⁩⁦,⁩‬⁩‬‭⁦‮⁦s⁩⁦a⁩‬⁩‬s ‭⁦‮⁦i⁩⁦w⁩‬⁩‬‭⁦‮⁦e⁩⁦p⁩‬⁩‬",-2.824983835220337,-0.000928571680560708,"tensor([9.8629e-01, 3.5898e-02, 9.6445e-01, 7.1178e-04, 8.3451e-01, 3.1259e-03])","tensor([3.0387e-04, 1.1373e-04, 1.6482e-04, 7.7929e-05, 1.4991e-04, 1.1831e-04])",0,86,"Successful"
"  == whoa ==  you are a bi fat idiot, stop spamming my user space.","  == whoa ==  y‭⁦‮⁦u⁩⁦o⁩‬⁩‬ a‭⁦‮⁦e⁩⁦r⁩‬⁩‬ a bi‭⁦‮⁦f⁩⁦ ⁩‬⁩‬at idio‭⁦‮⁦,⁩⁦t⁩‬⁩‬ stop spamming my user space.",-2.969485282897949,-0.003088815603405237,"tensor([0.9889, 0.0698, 0.9102, 0.0015, 0.9791, 0.0200])","tensor([2.3541e-03, 7.8096e-05, 3.4131e-04, 8.9783e-05, 1.4062e-04, 8.4911e-05])",0,86,"Successful"
"  == FUCK YOU THUE ==  YOU BRAIN DEAD FUCK, YOU CAN'T BLOCK ME. THANKS TO PROXY SERVERS AND ANON BROWSING I CAN COME TO WIKI ZILLION TIMES SO IF SCUM LIKE YOU THINK THAT YOU CAN BLOCK ME THEN YOU ARE IN FOR BIG SURPRISE YOU FAGGOT. I AM GIVING YOU LAST CHANCE IN CIVILIZED WAY TO STOP VANDALIZING KASH JAFFREY. DON'T FUCK WITH CANADIAN CONTENT, ITS TO ADVANCE FOR YOUR EMPTY BRAIN TO CONCIEVE. AND LASTLY IF YOU WANT TO LEAVE MESSAGE THEN WRITE (DON'T USE PREDEFINE ONE LINERS.) SEE YA ASSHOLE  JOEY","  == ‭⁦‮⁦U⁩⁦F⁩‬⁩‬CK YOU THUE ==  YOU BRAIN DEAD FUCK, YOU CAN'T BLOCK ME. THANKS TO PROXY SERVERS AND ANON BROWSING I CAN COME TO ‭⁦‮⁦I⁩⁦W⁩‬⁩‬KI ZILLION TIMES SO IF SCUM LIKE YOU THINK THAT YOU CAN BLOCK ME THEN YOU ARE IN FOR BIG S‭⁦‮⁦R⁩⁦U⁩‬⁩‬PRISE YOU FAGGOT. I AM GIVING YOU LAST CHANCE IN CIVILIZED WAY TO STOP VANDALIZING KASH JAFFREY. DON'T FUCK WITH CANADIAN CONTENT, ITS TO ADVANCE FOR YOUR EMPTY BRAIN TO CONCIEVE. AND LASTLY IF YOU WANT TO LEAVE MESSAGE THEN‭⁦‮⁦W⁩⁦ ⁩‬⁩‬RITE (DON'T USE PREDEFINE ONE LINERS.) SEE YA ASSHOLE  JOEY",-3.605079174041748,-3.2918126583099365,"tensor([0.9972, 0.5847, 0.9971, 0.0080, 0.9786, 0.0395])","tensor([0.9979, 0.2858, 0.9941, 0.0059, 0.9767, 0.0313])",0,86,"Failed"
"`  :: Hey, the only persons ``suffering`` were those who read that bullshit, Wikipedia opening itself up to a Copyright infringement suit, and the credibility of those who are facilitating both.  The length of the protections will not influence my decision to revert the article back to a previous version that does not contain plagiarism.  `","`  :: Hey, the only persons ``suffering`` were those who read that ‭⁦‮⁦u⁩⁦b⁩‬⁩‬llshit, Wikip‭⁦‮⁦d⁩⁦e⁩‬⁩‬ia opening itself up to a Copyright inf‭⁦‮⁦i⁩⁦r⁩‬⁩‬ngement suit, and the credibility of those who are facilitating both.  The length of the p‭⁦‮⁦o⁩⁦r⁩‬⁩‬tections will not influence my decision to revert the article back to a previous version that does not contain plagiarism.  `",-1.028989553451538,-0.0009447462507523596,"tensor([7.6723e-01, 1.3083e-03, 2.5661e-01, 8.6072e-04, 2.6488e-03, 3.2799e-04])","tensor([3.7714e-04, 9.5402e-05, 1.4154e-04, 7.5796e-05, 1.4114e-04, 1.1373e-04])",0,86,"Successful"
