"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im [[feeling]] rather [[rotten]] [[so]] im not very ambitious right [[now]]","im [[feelіng]] rather [[rοtten]] [[sο]] im not very ambitious right [[nοw]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,46,"Failed"
"im updating [[my]] [[blog]] [[because]] i [[feel]] shitty","im updating [[mу]] [[blοg]] [[beсause]] i [[feеl]] shitty",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,46,"Failed"
"i never make [[her]] separate from me [[because]] i don t ever want [[her]] to feel like i m [[ashamed]] with her","i never make [[һer]] separate from me [[becаuse]] i don t ever want [[һer]] to feel like i m [[aѕhamed]] with her",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,46,"Failed"
"i left with my bouquet of red and [[yellow]] tulips under my arm [[feeling]] slightly [[more]] [[optimistic]] than when i arrived","i left with my bouquet of red and [[yellοw]] tulips under my arm [[fеeling]] slightly [[morе]] [[oрtimistic]] than when i arrived",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,46,"Successful"
"[[i]] was feeling a little vain when [[i]] [[did]] this one","[[і]] was feeling a little vain when [[і]] [[diԁ]] this one",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",0,86,"Successful"
"[[i]] cant walk into a shop [[anywhere]] where i do not [[feel]] [[uncomfortable]]","[[і]] cant walk into a shop [[anywһere]] where i do not [[fеel]] [[unсomfortable]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",4,46,"Failed"
"i felt anger when at the end of a [[telephone]] call","i felt anger when at the end of a [[telеpһοne]] call",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,46,"Failed"
"i explain why i clung to a [[relationship]] with a boy who was in many ways immature and [[uncommitted]] despite the excitement i should have been feeling for getting accepted into the [[masters]] program at [[the]] university of virginia","i explain why i clung to a [[relatіonship]] with a boy who was in many ways immature and [[uncommittеd]] despite the excitement i should have been feeling for getting accepted into the [[mastеrs]] program at [[tһe]] university of virginia",0.0,0.1666666716337204,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])",1,86,"Failed"
"i like to [[have]] the [[same]] breathless feeling as a [[reader]] eager to see what will happen next","i like to [[havе]] the [[ѕamе]] breathless feeling as a [[reaԁer]] eager to see what will happen next",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,46,"Successful"
"i jest i feel grumpy [[tired]] [[and]] pre menstrual which i probably am but then again its [[only]] been a week and im about as fit as a walrus on [[vacation]] for the summer","i jest i feel grumpy [[tireԁ]] [[anԁ]] pre menstrual which i probably am but then again its [[onlу]] been a week and im about as fit as a walrus on [[vаcation]] for the summer",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",3,46,"Failed"
"i don t feel [[particularly]] [[agitated]]","i don t feel [[pаrtіcularly]] [[agіtated]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",4,46,"Failed"
"i feel beautifully emotional knowing that these women [[of]] whom [[i]] knew just a handful were [[holding]] me and my baba on our [[journey]]","i feel beautifully emotional knowing that these women [[οf]] whom [[і]] knew just a handful were [[һolding]] me and my baba on our [[journeу]]",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,46,"Failed"
"i pay attention it [[deepens]] into a [[feeling]] of being invaded [[and]] helpless","i pay attention it [[deeрens]] into a [[fеelіng]] of being invaded [[аnd]] helpless",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",4,46,"Failed"
"i just feel extremely comfortable with [[the]] group of [[people]] that i dont even [[need]] to hide [[myself]]","i just feel extremely comfortable with [[tһe]] group of [[peoрle]] that i dont even [[nеed]] to hide [[mуself]]",0.0,2.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,86,"Successful"
"i find myself in the odd [[position]] of feeling [[supportive]] of","i find myself in the odd [[posіtion]] of feeling [[supрοrtivе]] of",0.0,2.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",2,86,"Successful"
"i was [[feeling]] as heartbroken [[as]] [[im]] sure katniss was","i was [[fеeling]] as heartbroken [[aѕ]] [[іm]] sure katniss was",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,46,"Failed"
"i feel a little [[mellow]] [[today]]","i feel a little [[mеllοw]] [[todаy]]",0.0,2.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,86,"Successful"
"[[i]] feel [[like]] my only role now would be to tear your [[sails]] with my pessimism [[and]] discontent","[[і]] feel [[lіke]] my only role now would be to tear your [[sailѕ]] with my pessimism [[аnd]] discontent",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",0,46,"Failed"
"i feel just bcoz a fight we get mad to each [[other]] n u [[wanna]] make a publicity n let the world [[knows]] [[about]] our fight","i feel just bcoz a fight we get mad to each [[otһer]] n u [[wаnna]] make a publicity n let the world [[knοws]] [[аbout]] our fight",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,46,"Failed"
"i feel like [[reds]] and purples are just so rich [[and]] kind [[of]] perfect","i feel like [[rеdѕ]] and purples are just so rich [[аnd]] kind [[οf]] perfect",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,46,"Successful"
