"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling [[rather]] [[rotten]] so im not very ambitious [[right]] now","im feeling [[‌r‍ather]] [[r‌ot‍ten]] so im not very ambitious [[​right]] now",4.030646232422441e-05,4.030646232422441e-05,"tensor([9.9975e-01, 4.0306e-05, 1.1920e-05, 2.0606e-05, 1.5631e-04, 1.7960e-05])","tensor([9.9975e-01, 4.0306e-05, 1.1920e-05, 2.0606e-05, 1.5631e-04, 1.7960e-05])",0,112,"Failed"
"im [[updating]] [[my]] blog [[because]] i feel shitty","im [[u‌pdating]] [[my‌]] blog [[beca‍us​e​]] i feel shitty",2.7190622859052382e-05,2.7190622859052382e-05,"tensor([9.9972e-01, 2.7191e-05, 8.8058e-06, 2.1755e-05, 2.0723e-04, 1.1828e-05])","tensor([9.9972e-01, 2.7191e-05, 8.8058e-06, 2.1755e-05, 2.0723e-04, 1.1828e-05])",0,112,"Failed"
"i never make her separate from [[me]] [[because]] i don t ever want [[her]] [[to]] feel like i m ashamed with her","i never make her separate from [[me‌]] [[because‍]] i don t ever want [[he‌​r]] [[to‌]] feel like i m ashamed with her",2.3102042177924886e-05,2.3102042177924886e-05,"tensor([9.9977e-01, 2.3102e-05, 1.2730e-05, 3.4601e-05, 1.5415e-04, 8.9587e-06])","tensor([9.9977e-01, 2.3102e-05, 1.2730e-05, 3.4601e-05, 1.5415e-04, 8.9587e-06])",0,112,"Failed"
"i left with [[my]] bouquet of [[red]] [[and]] yellow tulips under [[my]] arm feeling slightly more optimistic than [[when]] i arrived","i left with [[m‍y]] bouquet of [[r‌ed]] [[‌and]] yellow tulips under [[m‌y]] arm feeling slightly more optimistic than [[‌when]] i arrived",1.9997270107269287,1.9997270107269287,"tensor([6.6769e-05, 9.9973e-01, 1.4637e-04, 1.5842e-05, 3.7129e-05, 6.8256e-06])","tensor([6.6769e-05, 9.9973e-01, 1.4637e-04, 1.5842e-05, 3.7129e-05, 6.8256e-06])",1,112,"Successful"
"i was feeling a [[little]] vain [[when]] [[i]] did [[this]] one","i was feeling a [[littl‌e]] vain [[w‌h‌en]] [[​i]] did [[thi​s]] one",5.031799082644284e-05,5.031799082644284e-05,"tensor([9.9934e-01, 5.0318e-05, 8.1746e-06, 1.8622e-05, 5.6251e-04, 1.8839e-05])","tensor([9.9934e-01, 5.0318e-05, 8.1746e-06, 1.8622e-05, 5.6251e-04, 1.8839e-05])",0,112,"Failed"
"i cant walk [[into]] a [[shop]] anywhere where [[i]] do [[not]] feel [[uncomfortable]]","i cant walk [[​into]] a [[sho‌p]] anywhere where [[i‌]] do [[n‍ot]] feel [[uncomfor‌table]]",6.058475992176682e-05,6.058475992176682e-05,"tensor([8.2998e-05, 6.0585e-05, 8.3155e-06, 5.8810e-04, 9.9924e-01, 2.4015e-05])","tensor([8.2998e-05, 6.0585e-05, 8.3155e-06, 5.8810e-04, 9.9924e-01, 2.4015e-05])",4,112,"Failed"
"i felt anger [[when]] at the [[end]] of a [[telephone]] call","i felt anger [[‍whe‌n‌]] at the [[e​nd]] of a [[teleph‍one]] call",8.333186997333542e-05,8.333186997333542e-05,"tensor([1.4382e-03, 8.3332e-05, 2.2624e-05, 9.9480e-01, 3.6150e-03, 4.0268e-05])","tensor([1.4382e-03, 8.3332e-05, 2.2624e-05, 9.9480e-01, 3.6150e-03, 4.0268e-05])",3,112,"Failed"
"i explain why i clung to a [[relationship]] with a boy who [[was]] [[in]] many [[ways]] immature and uncommitted despite the excitement i should have been feeling for getting accepted [[into]] the masters program at the university of virginia","i explain why i clung to a [[relat‌ionship]] with a boy who [[wa​s]] [[i‌n]] many [[‌ways]] immature and uncommitted despite the excitement i should have been feeling for getting accepted [[in​to]] the masters program at the university of virginia",1.8393957614898682,1.8393957614898682,"tensor([1.6927e-03, 8.3940e-01, 1.5257e-01, 7.0803e-04, 7.4819e-04, 4.8844e-03])","tensor([1.6927e-03, 8.3940e-01, 1.5257e-01, 7.0803e-04, 7.4819e-04, 4.8844e-03])",1,112,"Successful"
"[[i]] like to have [[the]] same breathless feeling as a [[reader]] eager to see what will [[happen]] next","[[‌i]] like to have [[t​he]] same breathless feeling as a [[r‍eader]] eager to see what will [[h‍appe​n]] next",1.999565839767456,1.999565839767456,"tensor([1.2396e-05, 9.9957e-01, 2.9278e-04, 1.3838e-05, 3.2255e-05, 8.2910e-05])","tensor([1.2396e-05, 9.9957e-01, 2.9278e-04, 1.3838e-05, 3.2255e-05, 8.2910e-05])",1,112,"Successful"
"i jest i feel grumpy tired and pre [[menstrual]] which i [[probably]] am but then again [[its]] only been a week and im [[about]] as fit as a walrus on vacation for the summer","i jest i feel grumpy tired and pre [[menstrual​]] which i [[pr‍obably]] am but then again [[it‌s​]] only been a week and im [[ab‌out]] as fit as a walrus on vacation for the summer",0.0001481705839978531,0.0001481705839978531,"tensor([1.1465e-03, 1.4817e-04, 4.1268e-05, 9.9841e-01, 2.0743e-04, 4.3336e-05])","tensor([1.1465e-03, 1.4817e-04, 4.1268e-05, 9.9841e-01, 2.0743e-04, 4.3336e-05])",3,112,"Failed"
"i don [[t]] [[feel]] [[particularly]] agitated","i don [[t‍‌]] [[fe‌​el]] [[par‌ticularly]] agitated",0.000333851610776037,0.000333851610776037,"tensor([5.7399e-04, 3.3385e-04, 6.0463e-05, 9.8451e-01, 1.4386e-02, 1.3246e-04])","tensor([5.7399e-04, 3.3385e-04, 6.0463e-05, 9.8451e-01, 1.4386e-02, 1.3246e-04])",4,112,"Failed"
"i feel [[beautifully]] emotional knowing that [[these]] women [[of]] whom [[i]] knew just a handful were [[holding]] me and my baba on our journey","i feel [[beau​tifully]] emotional knowing that [[‍these]] women [[o‌f]] whom [[i‌]] knew just a handful were [[holdin‌g]] me and my baba on our journey",3.660892980406061e-05,3.660892980406061e-05,"tensor([9.9923e-01, 3.6609e-05, 2.2932e-05, 1.8162e-05, 6.7726e-04, 1.9910e-05])","tensor([9.9923e-01, 3.6609e-05, 2.2932e-05, 1.8162e-05, 6.7726e-04, 1.9910e-05])",0,112,"Failed"
