"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[im]] [[feeling]] [[rather]] [[rotten]] so im [[not]] very ambitious right now","[[іm]] [[feelіng]] [[rаther]] [[rοtten]] so im [[nοt]] very ambitious right now",4.030646232422441e-05,1.9993226528167725,"tensor([9.9975e-01, 4.0306e-05, 1.1920e-05, 2.0606e-05, 1.5631e-04, 1.7960e-05])","tensor([5.8301e-05, 9.9932e-01, 4.7268e-04, 8.3097e-05, 5.5666e-05, 7.5757e-06])",0,107,"Successful"
"im updating [[my]] blog [[because]] [[i]] [[feel]] [[shitty]]","im updating [[mу]] blog [[becauѕe]] [[і]] [[fеel]] [[ѕhitty]]",2.7190622859052382e-05,1.8872692584991455,"tensor([9.9972e-01, 2.7191e-05, 8.8058e-06, 2.1755e-05, 2.0723e-04, 1.1828e-05])","tensor([0.0114, 0.8873, 0.0024, 0.0073, 0.0746, 0.0170])",0,107,"Successful"
"i [[never]] make her separate from me [[because]] i don t ever want her to feel like i m [[ashamed]] [[with]] her","i [[nеver]] make her separate from me [[becаuѕe]] i don t ever want her to feel like i m [[ashameԁ]] [[wіth]] her",2.3102042177924886e-05,1.3899966478347778,"tensor([9.9977e-01, 2.3102e-05, 1.2730e-05, 3.4601e-05, 1.5415e-04, 8.9587e-06])","tensor([0.3080, 0.3900, 0.1423, 0.1103, 0.0370, 0.0124])",0,107,"Successful"
"i left with [[my]] [[bouquet]] of red and [[yellow]] tulips [[under]] my arm feeling slightly more [[optimistic]] than when i arrived","i left with [[mу]] [[bοuquet]] of red and [[yеllow]] tulips [[unԁer]] my arm feeling slightly more [[optimistіc]] than when i arrived",1.9997270107269287,1.9998009204864502,"tensor([6.6769e-05, 9.9973e-01, 1.4637e-04, 1.5842e-05, 3.7129e-05, 6.8256e-06])","tensor([3.0749e-05, 9.9980e-01, 1.0664e-04, 2.0592e-05, 3.3939e-05, 7.1424e-06])",1,107,"Successful"
"i was [[feeling]] a little [[vain]] when i [[did]] this one","i was [[feelіng]] a little [[vaіn]] when i [[ԁіԁ]] this one",5.031799082644284e-05,0.1914055049419403,"tensor([9.9934e-01, 5.0318e-05, 8.1746e-06, 1.8622e-05, 5.6251e-04, 1.8839e-05])","tensor([0.5749, 0.1914, 0.0983, 0.0118, 0.0607, 0.0628])",0,107,"Failed"
"i [[cant]] walk into a shop [[anywhere]] [[where]] i do not feel [[uncomfortable]]","i [[сant]] walk into a shop [[anywһere]] [[wherе]] i do not feel [[unсomfοrtable]]",6.058475992176682e-05,0.002738404553383589,"tensor([8.2998e-05, 6.0585e-05, 8.3155e-06, 5.8810e-04, 9.9924e-01, 2.4015e-05])","tensor([5.8555e-01, 2.7384e-03, 6.5028e-05, 6.9081e-04, 4.1065e-01, 3.0596e-04])",4,107,"Failed"
"i [[felt]] [[anger]] when [[at]] the [[end]] of a [[telephone]] call","i [[fеlt]] [[аnger]] when [[аt]] the [[еnd]] of a [[teleрhone]] call",8.333186997333542e-05,1.4139949083328247,"tensor([1.4382e-03, 8.3332e-05, 2.2624e-05, 9.9480e-01, 3.6150e-03, 4.0268e-05])","tensor([0.0925, 0.4140, 0.0873, 0.0516, 0.3451, 0.0095])",3,107,"Successful"
"i explain why i clung to a relationship with a boy who was in many ways immature and [[uncommitted]] [[despite]] the excitement i should have been feeling for getting accepted into [[the]] masters program at the [[university]] of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and [[uncommittеd]] [[deѕрite]] the excitement i should have been feeling for getting accepted into [[tһe]] masters program at the [[universitу]] of virginia",1.8393957614898682,1.9812443256378174,"tensor([1.6927e-03, 8.3940e-01, 1.5257e-01, 7.0803e-04, 7.4819e-04, 4.8844e-03])","tensor([2.4999e-04, 9.8124e-01, 1.7328e-02, 2.1026e-04, 2.2791e-04, 7.3987e-04])",1,107,"Successful"
"i like to have [[the]] same [[breathless]] feeling as a [[reader]] eager [[to]] see what will happen next","i like to have [[tһe]] same [[breаthlеss]] feeling as a [[readеr]] eager [[tο]] see what will happen next",1.999565839767456,1.9997665882110596,"tensor([1.2396e-05, 9.9957e-01, 2.9278e-04, 1.3838e-05, 3.2255e-05, 8.2910e-05])","tensor([2.0229e-05, 9.9977e-01, 1.5619e-04, 1.8811e-05, 2.4016e-05, 1.4200e-05])",1,107,"Successful"
"i jest i [[feel]] [[grumpy]] tired and pre [[menstrual]] which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i [[fеel]] [[grumрy]] tired and pre [[menѕtruаl]] which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0001481705839978531,0.02855820208787918,"tensor([1.1465e-03, 1.4817e-04, 4.1268e-05, 9.9841e-01, 2.0743e-04, 4.3336e-05])","tensor([0.2194, 0.0286, 0.0057, 0.7365, 0.0058, 0.0041])",3,107,"Failed"
