"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] [[Jump]] Over Bogota","[[‌Specta‌cul‍ar]] [[Wings‌uit]] [[Jum‍p]] Over Bogota",27,27,"Saut en wingsuit spectaculaire au-dessus de Bogotá.","Saut en wingsuit spectaculaire au-dessus de Bogotá.","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",212,"Failed"
"[[Sportsman]] Jhonathan Florez [[jumped]] from a helicopter above [[Bogota,]] the capital of Colombia, on Thursday.","[[Sp‌ortsman]] Jhonathan Florez [[jump​ed]] from a helicopter above [[‍Bogota‍,‌]] the capital of Colombia, on Thursday.",19,30,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Jeudi, l'athlète Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",212,"Failed"
"Wearing a [[wingsuit,]] [[he]] flew past over the famous Monserrate [[Sanctuary]] at 160km/h. The sanctuary is located at an altitude of over 3000 meters [[and]] numerous spectators had gathered there to watch his exploit.","Wearing a [[‍wingsuit‌,]] [[he‌]] flew past over the famous Monserrate [[Sanctua​ry]] at 160km/h. The sanctuary is located at an altitude of over 3000 meters [[‌and]] numerous spectators had gathered there to watch his exploit.",117,125,"Vêtu d'une wingsuit, il a survolé le célèbre sanctuaire de Monserrate à 160 km/h. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'y étaient rassemblés pour admirer son exploit.","Vêtu d'une wingsuit, il a survolé à 160 km/h le célèbre sanctuaire de Monserrate. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'y étaient rassemblés pour assister à son exploit.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",212,"Failed"
"A [[black]] [[box]] in [[your]] car?","A [[bl‍ac‌k]] [[bo‌x]] in [[yo‌ur‍]] car?",1,1,"Une boîte noire dans votre voiture ?","Une boîte noire dans votre voiture ?","Une boîte noire dans votre voiture ?",112,"Failed"
"As [[America's]] road planners struggle to find the cash to mend a crumbling highway [[system,]] [[many]] are beginning to see a solution in a little [[black]] box that fits neatly by the dashboard of your car.","As [[A‌merica's]] road planners struggle to find the cash to mend a crumbling highway [[sys‌tem,]] [[​m​any]] are beginning to see a solution in a little [[bl​ack]] box that fits neatly by the dashboard of your car.",113,151,"Alors que les urbanistes américains ont du mal à trouver l'argent nécessaire pour réparer un réseau autoroutier en ruine, beaucoup commencent à voir une solution dans un petit boîtier noir qui se place facilement sur le tableau de bord de votre voiture.","Alors que les responsables de la planification routière américaine luttent pour trouver les fonds nécessaires à la réparation d'un réseau autoroutier délabré, beaucoup commencent à voir une solution dans un petit boîtier noir qui se place facilement sur le tableau de bord de votre voiture.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",212,"Failed"
"The devices, which track every [[mile]] a motorist drives and transmit that [[information]] to bureaucrats, are at the [[center]] of a [[controversial]] attempt in Washington and state planning offices to [[overhaul]] the outdated system for funding America's major roads.","The devices, which track every [[m‍ile]] a motorist drives and transmit that [[​information]] to bureaucrats, are at the [[center‌]] of a [[controversia​l]] attempt in Washington and state planning offices to [[overhaul‌]] the outdated system for funding America's major roads.",71,110,"Les dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent ces informations aux fonctionnaires, sont au cœur d'une tentative controversée à Washington et dans les bureaux de planification des États pour réformer le système obsolète de financement des principales routes américaines.","Les dispositifs, qui suivent chaque m‍ile qu'un automobiliste parcourt et transmettent ces ​informations à des bureaucrates, sont au cœur d'une tentative controversia​le à Washington et dans les bureaux de planification des États pour réformer‌ le système obsolète de financement des principales routes américaines.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",212,"Failed"
"The [[usually]] dull [[arena]] [[of]] [[highway]] planning has [[suddenly]] spawned intense debate and colorful alliances.","The [[‌usually]] dull [[aren‌a]] [[o‌f]] [[‍highway]] planning has [[s‍uddenly]] spawned intense debate and colorful alliances.",75,83,"L'arène généralement ennuyeuse de la planification autoroutière a soudainement donné naissance à un débat intense et à des alliances hautes en couleur.","La sphère habituellement terne de la planification routière a soudainement donné naissance à des débats intenses et à des alliances hautes en couleur.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",212,"Failed"
"Libertarians have joined environmental groups in [[lobbying]] to allow government to use the little boxes to keep track of the miles you [[drive,]] and possibly where you drive them - then use the [[information]] [[to]] [[draw]] up a tax bill.","Libertarians have joined environmental groups in [[lobb​ying]] to allow government to use the little boxes to keep track of the miles you [[‌drive,]] and possibly where you drive them - then use the [[‌information]] [[‌to]] [[d​raw]] up a tax bill.",109,124,"Les libertariens se sont associés à des groupes environnementaux pour faire pression afin d'autoriser le gouvernement à utiliser les petites boîtes pour suivre le nombre de kilomètres que vous parcourez, et éventuellement où vous les parcourez - puis à utiliser ces informations pour établir une facture fiscale.","Les libertariens se sont joints à des groupes environnementaux pour faire pression afin de permettre au gouvernement d'utiliser les petits boîtiers pour suivre les kilomètres que vous parcourez, et peut-être où vous les parcourez - puis d'utiliser ces informations pour établir une facture fiscale.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",212,"Failed"
"[[The]] tea party [[is]] aghast.","[[Th‌e]] tea party [[‌‍is‌‌]] aghast.",5,27,"Le Tea Party est consterné.","La réunion de dégustation de thé est atterrée.","Le Tea Party est atterré.",212,"Failed"
"The [[American]] Civil Liberties Union [[is]] [[deeply]] concerned, too, raising a [[variety]] of privacy issues.","The [[American‌]] Civil Liberties Union [[‌is]] [[deepl‌y]] concerned, too, raising a [[v​ariety‌]] of privacy issues.",88,109,"L'Union américaine pour les libertés civiles est aussi profondément préoccupée, soulevant diverses questions de confidentialité.","L'Union américaine pour les libertés civiles (American Civil Liberties Union) est également profondément préoccupée, soulevant diverses questions de confidentialité.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",212,"Failed"
"And while Congress [[can't]] [[agree]] on [[whether]] to proceed, several [[states]] are not [[waiting.]]","And while Congress [[ca​n't]] [[agre​e]] on [[wh‌ether]] to proceed, several [[st‌ates]] are not [[w​aiting.]]",60,80,"Et bien que le Congrès ne parvienne pas à se mettre d'accord sur la marche à suivre, plusieurs États n'attendent pas.","Et bien que le Congrès ne puisse s'entendre sur l'opportunité de poursuivre, plusieurs États n'attendent pas.","Et tandis que les membres du Congrès n'arrivent pas à se mettre d'accord pour savoir s'il faut continuer, plusieurs États n'ont pas attendu.",212,"Failed"
"They [[are]] exploring how, over [[the]] next decade, they can move to a system in which [[drivers]] pay per [[mile]] of road they roll over.","They [[‌are]] exploring how, over [[th​e]] next decade, they can move to a system in which [[d​‌rivers]] pay per [[‌mile]] of road they roll over.",53,60,"Ils étudient comment, au cours de la prochaine décennie, ils peuvent passer à un système dans lequel les conducteurs paient au kilomètre de route qu'ils parcourent.","Ils étudient comment, au cours de la prochaine décennie, ils peuvent passer à un système dans lequel les conducteurs paient au kilomètre parcouru sur la route.","Ils cherchent comment, au cours de la prochaine décennie, ils pourront passer à un système permettant aux conducteurs de payer en fonction du nombre de miles parcourus.",212,"Failed"
"[[Thousands]] of [[motorists]] have [[already]] [[taken]] the [[black]] boxes, some of which have GPS monitoring, for a test drive.","[[Thousand‌s]] of [[m‍otorists]] have [[alr‍eady]] [[​taken]] the [[b‍lack]] boxes, some of which have GPS monitoring, for a test drive.",53,93,"Des milliers d'automobilistes ont déjà emporté les boîtes noires, dont certaines sont dotées d'un système de suivi GPS, pour un essai routier.","Des millier‌s d'au‍tomobilistes ont dé‍jà ​effectué un essai rou‍tier avec les boî‍tes noires, dont ce‍rtaines sont dotées d'u‍n système de su‍ivi GPS.","Des milliers d'automobilistes ont déjà embarqué ces boîtes noires, parfois équipées d'un système de surveillance par GPS, pour une virée expérimentale.",212,"Failed"
"[[This]] [[really]] is a must for [[our]] [[nation.]]","[[T‌his]] [[rea‍lly‍]] is a must for [[o​ur]] [[natio‍n.]]",14,15,"C'est vraiment un incontournable pour notre nation.","C'est vraiment une nécessité pour notre nation.","Cela est vraiment indispensable pour notre nation.",162,"Failed"
"""It is not a matter of something we might choose to do,"" said Hasan [[Ikhrata,]] [[executive]] director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles [[driven]] by every [[California]] motorist by 2025.","""It is not a matter of something we might choose to do,"" said Hasan [[Ik‌hrata,]] [[ex‌​ecutive]] director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles [[d‌riven]] by every [[Califo‍rnia]] motorist by 2025.",77,123,"""Il ne s'agit pas de quelque chose que nous pourrions choisir de faire,"" a déclaré Hasan Ikhrata, directeur exécutif de la Southern California Assn. of Governments, qui prévoit que l'État commence à suivre les kilomètres parcourus par chaque automobiliste californien d'ici 2025.","""Ce n'est pas une question de quelque chose que nous pourrions choisir de faire,"" a déclaré Hasan Ik‌hrata, directeur ex‌​écutif de l'Association des gouvernements de Californie du Sud, qui prévoit que l'État commence à suivre les kilomètres parcourus par chaque automobiliste Califo‍rnien d'ici 2025.","« Ce n'est pas comme si nous avions le choix », a déclaré Hasan Ikhrata, directeur général de la Southern California Association of Governments, qui prévoit que l'État commence à enregistrer les miles parcourus par chaque automobiliste californien d'ici 2025.",212,"Failed"
"There is going to be a [[change]] in how [[we]] [[pay]] [[these]] [[taxes.]]","There is going to be a [[chan‌ge]] in how [[w‌e]] [[pa​y]] [[‌these]] [[tax​es.]]",7,13,"Il va y avoir un changement dans la façon dont nous payons ces impôts.","Il va y avoir un changement dans la manière dont nous payons ces impôts.","Il va y avoir du changement dans la façon dont nous payons ces taxes.",212,"Failed"
"[[The]] [[technology]] is [[there]] to do it.","[[​The]] [[technolo‌gy‌]] is [[‌the‌re]] to do it.",0,0,"La technologie est là pour le faire.","La technologie est là pour le faire.","La technologie est là pour le faire.",112,"Failed"
"The push [[comes]] as the [[country's]] Highway Trust Fund, [[financed]] with [[taxes]] Americans pay at the [[gas]] pump, is broke.","The push [[co‌mes]] as the [[coun​try's]] Highway Trust Fund, [[finan​ced]] with [[ta‌xes]] Americans pay at the [[​gas]] pump, is broke.",66,82,"Cette pression survient alors que le Fonds fiduciaire autoroutier du pays, financé par les taxes que les Américains paient à la pompe à essence, est en faillite.","Cette initiative intervient alors que le Fonds fiduciaire des autoroutes du pays, financé par les taxes que les Américains paient à la pompe à essence, est à court d'argent.","La pression vient du fait que le Highway Trust Fund du pays, financé avec les taxes que les Américains paient à la pompe, est financièrement à sec.",212,"Failed"
"Americans [[don't]] buy [[as]] [[much]] gas as [[they]] used to.","Americans [[d‌on't]] buy [[as​‍]] [[mu​ch]] gas as [[they‍]] used to.",0,2,"Les Américains n'achètent plus autant d'essence qu'avant.","Les Américains n'achètent pas autant d'essence qu'avant.","Les Américains n'achètent plus autant d'essence qu'avant.",212,"Failed"
"[[Cars]] get [[many]] more miles [[to]] [[the]] gallon.","[[Car‍s]] get [[m‍‌any]] more miles [[t​o]] [[‍the]] gallon.",20,36,"Les voitures font beaucoup plus de kilomètres au gallon.","Les voitures consomment beaucoup moins d'essence au kilomètre.","Les voitures peuvent parcourir plus de miles avec un gallon.",212,"Failed"
"The federal tax [[itself,]] [[18.4]] cents per [[gallon,]] hasn't [[gone]] up in 20 years.","The federal tax [[itse‍lf,]] [[18.4‌]] cents per [[ga‌llo‌n,]] hasn't [[‍gone]] up in 20 years.",10,26,"La taxe fédérale elle-même, de 18,4 cents par gallon, n'a pas augmenté depuis 20 ans.","L'impôt fédéral lui-même, 18,4 centimes par gallon, n'a pas augmenté depuis 20 ans.","La taxe fédérale elle-même, qui est de 18,4 cents par gallon, n'a pas augmenté depuis 20 ans.",212,"Failed"
"Politicians are loath to raise the tax [[even]] one [[penny]] [[when]] [[gas]] prices are high.","Politicians are loath to raise the tax [[ev‌en‌]] one [[pe‌nny]] [[wh‌en]] [[‍gas]] prices are high.",26,63,"Les politiciens hésitent à augmenter la taxe, même d'un centime, lorsque les prix de l'essence sont élevés.","Les politiciens répugnent à augmenter les impôts ne serait-ce que d'un seul centime quand le prix de l'essence est élevé.","Les hommes politiques sont réticents à augmenter la taxe, même d'1 cent, alors que les prix de l'essence sont élevés.",212,"Failed"
