"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Spectacular]] [[Wingsuit]] [[Jump]] Over Bogota","[[Spectacujlar]] [[Winorgs&uit]] [[JUump]] Over Bogota",27,810,"Saut en wingsuit spectaculaire au-dessus de Bogotá.","This sentence appears to be gibberish or contain errors. It's difficult to translate accurately. Assuming the intention was something along the lines of ""Spectacular wingsuit jump over Bogota"", here are a few possible translations, with varying levels of formality and emphasis:

*   **Saut en wingsuit spectaculaire au-dessus de Bogota.** (Fairly literal and common)
*   **Saut de wingsuit spectaculaire au-dessus de Bogotá.** (Using the correct accent on Bogota)
*   **Un saut en wingsuit spectaculaire au-dessus de Bogota.** (Adding ""a"" - ""A spectacular wingsuit jump..."")
*   **Un saut en wingsuit époustouflant au-dessus de Bogota.** (""Époustouflant"" is a stronger, more impressive word than ""spectaculaire"")

Since the original sentence is nonsensical, it's impossible to give a definitive ""correct"" translation. I've provided the most likely alternatives.","Spectaculaire saut en ""wingsuit"" au-dessus de Bogota",212,"Failed"
"[[Sportsman]] [[Jhonathan]] Florez [[jumped]] from a helicopter above Bogota, the capital of Colombia, on [[Thursday.]]","[[Spcortsman]] [[]J(honathan]] Florez [[jumped0]] from a helicopter above Bogota, the capital of Colombia, on [[ThursdayG.]]",19,39,"Le sportif Jhonathan Florez a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Jonathan Florez, sportif, a sauté d'un hélicoptère au-dessus de Bogota, la capitale de la Colombie, jeudi.","Le sportif Jhonathan Florez a sauté jeudi d'un hélicoptère au-dessus de Bogota, la capitale colombienne.",212,"Failed"
"Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at [[160km/h.]] The sanctuary is [[located]] at an altitude of over 3000 [[meters]] and numerous spectators had gathered there to watch [[his]] exploit.","Wearing a wingsuit, he flew past over the famous Monserrate Sanctuary at [[160km/h.{1]] The sanctuary is [[loccated]] at an altitude of over 3000 [[metUers]] and numerous spectators had gathered there to watch [[h'is]] exploit.",112,179,"Vêtu d'une wingsuit, il a survolé le célèbre sanctuaire de Monserrate à 160 km/h. Le sanctuaire est situé à une altitude de plus de 3000 mètres et de nombreux spectateurs s'y étaient rassemblés pour observer son exploit.","En wingsuit, il a survolé le célèbre sanctuaire de Monserrate à 160 km/h.","Equipé d'un wingsuit (une combinaison munie d'ailes), il est passé à 160 km/h au-dessus du célèbre sanctuaire Monserrate, situé à plus de 3 000 mètres d'altitude, où de nombreux badauds s'étaient rassemblés pour observer son exploit.",212,"Failed"
"[[A]] black [[box]] [[in]] your car?","[[Al]] black [[bUZox]] [[oi""n]] your car?",1,1266,"Une boîte noire dans votre voiture ?","This sentence appears to be nonsensical and garbled. It's difficult to provide a perfect translation. However, I can try to interpret it as best as possible and offer a few potential translations depending on the intended meaning:

**Possible Interpretations and Translations:**

* **Interpretation 1 (Assuming ""black box"" is the primary idea):** Does your car have a black box?
    * **Translation:**  Est-ce que votre voiture a une boîte noire ? / Avez-vous une boîte noire dans votre voiture ?

* **Interpretation 2 (Focusing on ""oil"" and a damaged object):** Is there oil on your black box in your car? (This is more speculative)
    * **Translation:** Y a-t-il de l'huile sur votre boîte noire dans votre voiture ?

* **Interpretation 3 (If ""Zox"" is a brand and the rest is errors):** Is there a black Zox [something] on your car? (Requires knowing what ""Zox"" typically refers to) - this is highly unlikely without further context.  Example assuming Zox is a phone:
    * **Translation:**  Y a-t-il un Zox noir [téléphone] sur votre voiture ?

**Because the original English is so unclear, the best translation is probably the first one, assuming the speaker is asking about the common ""black box"" data recorder.**

Therefore, my best answer is:

**Est-ce que votre voiture a une boîte noire ?**","Une boîte noire dans votre voiture ?",212,"Failed"
"As America's road [[planners]] struggle to find [[the]] cash to mend a crumbling highway [[system,]] many are beginning to [[see]] a solution in a little black box that fits neatly [[by]] the dashboard of your car.","As America's road [[plaEnners]] struggle to find [[t>he]] cash to mend a crumbling highway [[syste:m,]] many are beginning to [[see\]] a solution in a little black box that fits neatly [[bcy]] the dashboard of your car.",136,151,"Alors que les responsables de la planification routière américains peinent à trouver les fonds nécessaires pour réparer un réseau autoroutier en ruine, beaucoup commencent à voir une solution dans un petit boîtier noir qui se place facilement près du tableau de bord de votre voiture.","Alors que les responsables de la planification routière américaine luttent pour trouver les fonds nécessaires à la réparation d'un réseau autoroutier en ruine, beaucoup commencent à voir une solution dans un petit boîtier noir qui s'installe facilement près du tableau de bord de votre voiture.","Alors que les planificateurs du réseau routier des États-Unis ont du mal à trouver l'argent nécessaire pour réparer l'infrastructure autoroutière en décrépitude, nombreux sont ceux qui entrevoient une solution sous forme d'une petite boîte noire qui se fixe au-dessus du tableau de bord de votre voiture.",212,"Failed"
"The devices, which track every [[mile]] a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in [[Washington]] and state planning offices to overhaul [[the]] [[outdated]] system for [[funding]] America's major roads.","The devices, which track every [[Kmile]] a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in [[Washingtonl]] and state planning offices to overhaul [[the<]] [[noutdated]] system for [[fhunding]] America's major roads.",68,108,"Les appareils, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent ces informations à des fonctionnaires, sont au cœur d'une tentative controversée à Washington et dans les bureaux de planification des États pour réformer le système obsolète de financement des principales routes américaines.","Les dispositifs, qui suivent chaque kilomètre parcouru par un automobiliste et transmettent cette information à des fonctionnaires, sont au cœur d'une tentative controversée dans les bureaux de planification de Washington et des états pour réorganiser le système désuet de financement des principales routes américaines.","Les appareils, qui enregistrent tous les miles parcourus par un automobiliste et transmettent les informations aux fonctionnaires, sont au centre d'une tentative controversée à Washington et dans les bureaux gouvernementaux de la planification de remanier le système obsolète de financement des principales routes américaines.",212,"Failed"
"The usually dull [[arena]] of [[highway]] [[planning]] has suddenly spawned intense debate and [[colorful]] alliances.","The usually dull [[agrebna]] of [[hig3hway]] [[4planning]] has suddenly spawned intense debate and [[colorfurl]] alliances.",67,91,"L'arène habituellement ennuyeuse de la planification routière a soudainement engendré un débat intense et des alliances colorées.","La planification routière, d'habitude ennuyeuse, a soudainement engendré d'intenses débats et des alliances colorées.","Le secteur généralement sans intérêt de la planification des grands axes a soudain provoqué un débat fort animé et des alliances mouvementées.",212,"Failed"
"Libertarians have joined environmental groups in lobbying [[to]] allow government to use [[the]] little boxes to keep track of the miles you drive, [[and]] possibly where you [[drive]] them - then [[use]] the information to draw up a tax bill.","Libertarians have joined environmental groups in lobbying [[Sto]] allow government to use [[t[he]] little boxes to keep track of the miles you drive, [[anKd]] possibly where you [[driv""e]] them - then [[zuse]] the information to draw up a tax bill.",94,125,"Les libertariens se sont joints à des groupes environnementaux pour faire pression afin d'autoriser le gouvernement à utiliser ces petites boîtes pour suivre les kilomètres que vous parcourez, et éventuellement où vous les parcourez, puis à utiliser ces informations pour établir un projet de loi fiscale.","Les libertariens se sont joints à des groupes environnementaux pour faire du lobbying afin d'autoriser le gouvernement à utiliser ces petites boîtes pour suivre le nombre de kilomètres que vous parcourez, et peut-être où vous les parcourez - puis utiliser ces informations pour établir une facture fiscale.","Les libertaires ont rejoint des groupes écologistes pour faire pression afin que le gouvernement utilise les petites boîtes pour garder la trace des miles que vous parcourez, et éventuellement de la route sur laquelle vous circulez, puis utiliser les informations pour rédiger un projet de loi fiscal.",212,"Failed"
"The tea [[party]] [[is]] [[aghast.]]","The tea [[pa2rtGya]] [[iPs]] [[aghayst.]]",15,320,"Le cercle de thé est consterné.","This sentence is nonsensical and appears to have corrupted characters. There's no way to accurately translate it. However, if we try to guess at the intended meaning based on the words, we might assume it was meant to say: ""The tea party is against...""

Based on that assumption, here's a possible translation:

**Le Tea Party est contre...**","Le Tea Party est atterré.",212,"Failed"
"The American Civil Liberties Union [[is]] deeply concerned, too, [[raising]] [[a]] [[variety]] of [[privacy]] issues.","The American Civil Liberties Union [[Vis]] deeply concerned, too, [[raiZsing]] [[ea]] [[varieity]] of [[privuacy]] issues.",93,101,"L'Union américaine pour les libertés civiles est également profondément préoccupée, soulevant diverses questions de confidentialité.","L'Union américaine pour les libertés civiles (ACLU) est également profondément préoccupée, soulevant une variété de problèmes de confidentialité.","L'American Civil Liberties Union est elle aussi très préoccupée et exprime son inquiétude concernant la protection de la vie privée.",212,"Failed"
