"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] [[so]] im [[not]] [[very]] [[ambitious]] right [[now]]","im feeling rather [[rott‭⁦‮⁦n⁩⁦e⁩‬⁩‬‭⁦‮⁦s⁩⁦]] [[⁩‬⁩‬o]] im [[n‭⁦‮⁦t⁩⁦o⁩‬⁩‬]] [[very‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬mbitious]] right [[n‭⁦‮⁦w⁩⁦o⁩‬⁩‬]]",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,57,"Failed"
"im updating my [[blog]] [[because]] i [[feel]] [[shitty]]","im updating my [[blo‭⁦‮⁦]] [[⁩⁦g⁩‬⁩‬becau‭⁦‮⁦e⁩⁦s⁩‬⁩‬]] i [[‭⁦‮⁦e⁩⁦f⁩‬⁩‬el]] [[s‭⁦‮⁦i⁩⁦h⁩‬⁩‬t‭⁦‮⁦y⁩⁦t⁩‬⁩‬]]",0.0,0.1666666716337204,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0.1667, 0.1667, 0.1667, 0.1667, 0.1667, 0.1667])",0,107,"Failed"
"i [[never]] [[make]] her separate from me [[because]] i don t ever want her to feel like [[i]] [[m]] [[ashamed]] with her","i [[never‭⁦‮⁦m⁩⁦]] [[⁩‬⁩‬ake]] her separate from me [[bec‭⁦‮⁦u⁩⁦a⁩‬⁩‬se]] i don t ever want her to feel like [[‭⁦‮⁦]] [[⁩⁦i⁩‬⁩‬m]] [[as‭⁦‮⁦a⁩⁦h⁩‬⁩‬m‭⁦‮⁦d⁩⁦e⁩‬⁩‬]] with her",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,57,"Failed"
"i left with my bouquet of [[red]] [[and]] yellow tulips under my arm feeling [[slightly]] more optimistic [[than]] when i arrived","i left with my bouquet of [[red‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬nd]] yellow tulips under my arm feeling [[sli‭⁦‮⁦l⁩⁦‭⁦‮⁦t⁩⁦‭⁦‮⁦h⁩⁦g⁩‬⁩‬⁩‬⁩‬⁩‬⁩‬y]] more optimistic [[‭⁦‮⁦h⁩⁦t⁩‬⁩‬an]] when i arrived",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,57,"Successful"
"i [[was]] [[feeling]] [[a]] [[little]] [[vain]] when i did [[this]] one","i [[was‭⁦‮⁦f⁩⁦]] [[⁩‬⁩‬eelin‭⁦‮⁦]] [[⁩⁦g⁩‬⁩‬a]] [[‭⁦‮⁦i⁩⁦l⁩‬⁩‬ttl‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬vain]] when i did [[th‭⁦‮⁦s⁩⁦i⁩‬⁩‬]] one",0.0,2.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",0,107,"Successful"
"i [[cant]] [[walk]] [[into]] [[a]] [[shop]] anywhere [[where]] [[i]] do not feel uncomfortable","i [[can‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬walk]] [[‭⁦‮⁦n⁩⁦i⁩‬⁩‬to‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬‭⁦‮⁦s⁩⁦]] [[⁩‬⁩‬hop]] anywhere [[where‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬]] do not feel uncomfortable",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,57,"Failed"
"[[i]] [[felt]] [[anger]] when at the end of a [[telephone]] [[call]]","[[i‭⁦‮⁦f⁩⁦]] [[⁩‬⁩‬elt]] [[‭⁦‮⁦n⁩⁦a⁩‬⁩‬‭⁦‮⁦e⁩⁦g⁩‬⁩‬r]] when at the end of a [[telepho‭⁦‮⁦e⁩⁦n⁩‬⁩‬]] [[ca‭⁦‮⁦l⁩⁦l⁩‬⁩‬]]",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,57,"Failed"
"i explain why i clung to a [[relationship]] with a boy who was in many ways immature and uncommitted despite the [[excitement]] [[i]] [[should]] have been feeling for getting accepted into the masters program at the university of virginia","i explain why i clung to a [[‭⁦‮⁦e⁩⁦r⁩‬⁩‬lationship]] with a boy who was in many ways immature and uncommitted despite the [[exci‭⁦‮⁦e⁩⁦t⁩‬⁩‬me‭⁦‮⁦t⁩⁦n⁩‬⁩‬‭⁦‮⁦i⁩⁦]] [[⁩‬⁩‬]] [[sh‭⁦‮⁦u⁩⁦o⁩‬⁩‬ld]] have been feeling for getting accepted into the masters program at the university of virginia",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",1,57,"Failed"
"i [[like]] to [[have]] [[the]] same [[breathless]] feeling as a reader eager [[to]] see what [[will]] happen next","i [[‭⁦‮⁦i⁩⁦l⁩‬⁩‬ke]] to [[have‭⁦‮⁦t⁩⁦]] [[⁩‬⁩‬he]] same [[breathl‭⁦‮⁦s⁩⁦e⁩‬⁩‬s]] feeling as a reader eager [[‭⁦‮⁦o⁩⁦t⁩‬⁩‬]] see what [[w‭⁦‮⁦l⁩⁦i⁩‬⁩‬l]] happen next",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,57,"Successful"
"i jest i [[feel]] grumpy tired and pre menstrual [[which]] [[i]] probably am but then again its [[only]] [[been]] a week and im about as [[fit]] as a [[walrus]] on vacation for the summer","i jest i [[fe‭⁦‮⁦l⁩⁦e⁩‬⁩‬]] grumpy tired and pre menstrual [[whic‭⁦‮⁦]] [[⁩⁦h⁩‬⁩‬i]] probably am but then again its [[only‭⁦‮⁦b⁩⁦]] [[⁩‬⁩‬een]] a week and im about as [[f‭⁦‮⁦t⁩⁦i⁩‬⁩‬]] as a [[wal‭⁦‮⁦u⁩⁦r⁩‬⁩‬s]] on vacation for the summer",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",3,57,"Failed"
