"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling [[rather]] rotten so im not very ambitious right now","im feeling [[ra‭⁦‮⁦h⁩⁦t⁩‬⁩‬er]] rotten so im not very ambitious right now",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"im updating [[my]] blog because i feel shitty","im updating [[‭⁦‮⁦y⁩⁦m⁩‬⁩‬]] blog because i feel shitty",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"i never [[make]] [[her]] separate from me because i don t ever want her to feel like i m ashamed with her","i never [[mak‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬her]] separate from me because i don t ever want her to feel like i m ashamed with her",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,13,"Failed"
"i left with my bouquet of red and yellow [[tulips]] under my arm feeling slightly more optimistic than when i arrived","i left with my bouquet of red and yellow [[tu‭⁦‮⁦i⁩⁦l⁩‬⁩‬ps]] under my arm feeling slightly more optimistic than when i arrived",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,13,"Successful"
"i was feeling a [[little]] vain when i did this one","i was feeling a [[lit‭⁦‮⁦l⁩⁦t⁩‬⁩‬e]] vain when i did this one",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",0,13,"Successful"
"i [[cant]] [[walk]] into a shop anywhere where i do not feel uncomfortable","i [[can‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬walk]] into a shop anywhere where i do not feel uncomfortable",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,13,"Failed"
"i felt anger when at the [[end]] of a telephone call","i felt anger when at the [[‭⁦‮⁦n⁩⁦e⁩‬⁩‬d]] of a telephone call",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,13,"Failed"
"i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted [[despite]] the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted [[d‭⁦‮⁦s⁩⁦e⁩‬⁩‬pite]] the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",1,13,"Failed"
"i like to have the same [[breathless]] [[feeling]] as a reader eager to see what will happen next","i like to have the same [[breathles‭⁦‮⁦]] [[⁩⁦s⁩‬⁩‬feeling]] as a reader eager to see what will happen next",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,13,"Successful"
"i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on [[vacation]] [[for]] the summer","i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on [[vacation‭⁦‮⁦f⁩⁦]] [[⁩‬⁩‬or]] the summer",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,13,"Failed"
"[[i]] [[don]] t feel particularly agitated","[[‭⁦‮⁦]] [[⁩⁦i⁩‬⁩‬don]] t feel particularly agitated",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",4,13,"Failed"
"i feel beautifully emotional knowing [[that]] these women of whom i knew just a handful were holding me and my baba on our journey","i feel beautifully emotional knowing [[t‭⁦‮⁦a⁩⁦h⁩‬⁩‬t]] these women of whom i knew just a handful were holding me and my baba on our journey",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,13,"Failed"
"i pay attention it deepens into [[a]] [[feeling]] of being invaded and helpless","i pay attention it deepens into [[‭⁦‮⁦]] [[⁩⁦a⁩‬⁩‬feeling]] of being invaded and helpless",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,13,"Failed"
"[[i]] [[just]] feel extremely comfortable with the group of people that i dont even need to hide myself","[[‭⁦‮⁦]] [[⁩⁦i⁩‬⁩‬just]] feel extremely comfortable with the group of people that i dont even need to hide myself",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",1,13,"Failed"
"i find myself in the odd position of feeling [[supportive]] of","i find myself in the odd position of feeling [[‭⁦‮⁦u⁩⁦s⁩‬⁩‬pportive]] of",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 0., 0., 0., 1.])",2,13,"Failed"
"i was feeling as [[heartbroken]] [[as]] im sure katniss was","i was feeling as [[heartbroke‭⁦‮⁦]] [[⁩⁦n⁩‬⁩‬as]] im sure katniss was",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"i [[feel]] a little mellow today","i [[f‭⁦‮⁦e⁩⁦e⁩‬⁩‬l]] a little mellow today",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",1,13,"Failed"
"i feel like my only role now would be to tear [[your]] [[sails]] with my pessimism and discontent","i feel like my only role now would be to tear [[you‭⁦‮⁦]] [[⁩⁦r⁩‬⁩‬sails]] with my pessimism and discontent",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows [[about]] our fight","i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows [[‭⁦‮⁦b⁩⁦a⁩‬⁩‬out]] our fight",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,13,"Failed"
"i feel [[like]] [[reds]] and purples are just so rich and kind of perfect","i feel [[lik‭⁦‮⁦]] [[⁩⁦e⁩‬⁩‬reds]] and purples are just so rich and kind of perfect",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,13,"Successful"
"im not sure the feeling of loss will ever [[go]] [[away]] but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years","im not sure the feeling of loss will ever [[go‭⁦‮⁦a⁩⁦]] [[⁩‬⁩‬way]] but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a [[part]] [[of]] this little space","i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a [[par‭⁦‮⁦]] [[⁩⁦t⁩‬⁩‬of]] this little space",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,13,"Successful"
"i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin [[in]] the st century","i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin [[‭⁦‮⁦n⁩⁦i⁩‬⁩‬]] the st century",2.0,2.0,"tensor([0., 1., 0., 0., 0., 0.])","tensor([0., 1., 0., 0., 0., 0.])",1,13,"Successful"
"i also tell you in hopes that anyone who [[is]] [[still]] feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame","i also tell you in hopes that anyone who [[is‭⁦‮⁦s⁩⁦]] [[⁩‬⁩‬till]] feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame",0.0,0.0,"tensor([0., 0., 1., 0., 0., 0.])","tensor([0., 0., 1., 0., 0., 0.])",0,13,"Failed"
"i don t [[feel]] guilty like i m not going to be able to cook for him","i don t [[‭⁦‮⁦e⁩⁦f⁩‬⁩‬el]] guilty like i m not going to be able to cook for him",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
"i hate it [[when]] i feel fearful for absolutely no reason","i hate it [[wh‭⁦‮⁦n⁩⁦e⁩‬⁩‬]] i feel fearful for absolutely no reason",0.0,0.0,"tensor([0., 0., 0., 0., 1., 0.])","tensor([0., 0., 0., 0., 1., 0.])",4,13,"Failed"
"i am feeling outraged it [[shows]] [[everywhere]]","i am feeling outraged it [[show‭⁦‮⁦]] [[⁩⁦s⁩‬⁩‬everywhere]]",0.0,0.0,"tensor([0., 0., 0., 1., 0., 0.])","tensor([0., 0., 0., 1., 0., 0.])",3,13,"Failed"
"i stole a book from one [[of]] my all time favorite authors and now i feel like a rotten person","i stole a book from one [[‭⁦‮⁦f⁩⁦o⁩‬⁩‬]] my all time favorite authors and now i feel like a rotten person",0.0,0.0,"tensor([1., 0., 0., 0., 0., 0.])","tensor([1., 0., 0., 0., 0., 0.])",0,13,"Failed"
