"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[ro-tten]] so im not very ambitious right now",1.919264316558838,1.987815022468567,"tensor([0.0053, 0.9193, 0.0027, 0.0680, 0.0034, 0.0013])","tensor([1.2719e-03, 9.8782e-01, 1.2650e-03, 7.8484e-03, 1.1781e-03, 6.2175e-04])",0,44,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[shi}tty]]",0.00021555549756158143,1.9932204484939575,"tensor([9.9886e-01, 2.1556e-04, 2.0963e-04, 3.8775e-04, 1.5999e-04, 1.6322e-04])","tensor([4.4542e-03, 9.9322e-01, 7.2342e-04, 7.3401e-04, 5.6959e-04, 2.9829e-04])",0,44,"Successful"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[ashame?d]] with her",0.00020015801419503987,0.4722282886505127,"tensor([9.9903e-01, 2.0016e-04, 2.0717e-04, 2.2547e-04, 1.8506e-04, 1.4791e-04])","tensor([0.4925, 0.4722, 0.0135, 0.0190, 0.0022, 0.0006])",0,44,"Failed"
"i left with my bouquet of red and yellow tulips under my arm feeling [[slightly]] more optimistic than when i arrived","i left with my bouquet of red and yellow tulips under my arm feeling [[sylightly]] more optimistic than when i arrived",1.9988279342651367,1.9989078044891357,"tensor([2.8645e-04, 9.9883e-01, 3.2075e-04, 1.7244e-04, 2.1773e-04, 1.7455e-04])","tensor([2.5636e-04, 9.9891e-01, 3.2767e-04, 1.5764e-04, 1.9148e-04, 1.5897e-04])",1,24,"Successful"
"i was feeling a little [[vain]] when i did this one","i was feeling a little [[vawin]] when i did this one",0.0002151131775463,1.941931128501892,"tensor([9.9895e-01, 2.1511e-04, 1.5600e-04, 2.8784e-04, 2.4783e-04, 1.4445e-04])","tensor([0.0183, 0.9419, 0.0252, 0.0024, 0.0098, 0.0023])",0,44,"Successful"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[uIncomfortable]]",0.0002356303739361465,1.9909820556640625,"tensor([4.3594e-04, 2.3563e-04, 2.2058e-04, 5.7215e-04, 9.9640e-01, 2.1317e-03])","tensor([4.4129e-03, 9.9098e-01, 5.2114e-04, 5.5950e-04, 2.5076e-03, 1.0169e-03])",4,44,"Successful"
"i felt [[anger]] when at the end of a telephone call","i felt [[ange&r]] when at the end of a telephone call",0.00032698435825295746,1.561058759689331,"tensor([6.4220e-04, 3.2698e-04, 1.6361e-04, 9.9713e-01, 1.6100e-03, 1.2903e-04])","tensor([0.0423, 0.5611, 0.0020, 0.0779, 0.3124, 0.0043])",3,44,"Successful"
"i explain why i [[clung]] to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia","i explain why i [[cllung]] to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia",1.9850741624832153,1.9894914627075195,"tensor([1.4669e-03, 9.8507e-01, 1.1929e-02, 7.0185e-04, 3.9716e-04, 4.3126e-04])","tensor([9.7251e-04, 9.8949e-01, 8.2968e-03, 5.3467e-04, 3.0676e-04, 3.9763e-04])",1,24,"Successful"
"i like to have the same [[breathless]] feeling as a reader eager to see what will happen next","i like to have the same [[brceathless]] feeling as a reader eager to see what will happen next",1.998382329940796,1.9988291263580322,"tensor([1.7080e-04, 9.9838e-01, 4.2609e-04, 1.5334e-04, 3.0244e-04, 5.6514e-04])","tensor([1.5046e-04, 9.9883e-01, 3.6783e-04, 1.3601e-04, 2.0483e-04, 3.1190e-04])",1,24,"Successful"
"i jest i feel grumpy tired and pre menstrual which i probably am but then again its only [[been]] a week and im about as fit as a walrus on vacation for the summer","i jest i feel grumpy tired and pre menstrual which i probably am but then again its only [[b_een]] a week and im about as fit as a walrus on vacation for the summer",0.0002999087155330926,1.9979372024536133,"tensor([5.2077e-04, 2.9991e-04, 2.3212e-04, 9.9809e-01, 6.6123e-04, 1.9393e-04])","tensor([5.0019e-04, 9.9794e-01, 3.2857e-04, 4.4492e-04, 4.2384e-04, 3.6526e-04])",3,44,"Successful"
"i don t feel particularly [[agitated]]","i don t feel particularly [[Zagitated]]",0.0010060740169137716,1.9986625909805298,"tensor([1.0322e-03, 1.0061e-03, 5.9032e-04, 7.6656e-01, 2.2974e-01, 1.0686e-03])","tensor([2.8194e-04, 9.9866e-01, 4.7937e-04, 1.6881e-04, 1.7290e-04, 2.3435e-04])",4,44,"Successful"
"i feel beautifully [[emotional]] knowing that these women of whom i knew just a handful were holding me and my baba on our journey","i feel beautifully [[emSotional]] knowing that these women of whom i knew just a handful were holding me and my baba on our journey",0.0003408914781175554,1.9989442825317383,"tensor([9.9791e-01, 3.4089e-04, 3.6136e-04, 1.6767e-04, 1.0466e-03, 1.6940e-04])","tensor([1.5999e-04, 9.9894e-01, 3.2884e-04, 9.4852e-05, 1.1879e-04, 3.5331e-04])",0,44,"Successful"
