"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"im feeling rather [[rotten]] so im not very ambitious right now","im feeling rather [[hrotten]] so im not very ambitious right now",0.0022948929108679295,1.923020362854004,"tensor([0.9900, 0.0023, 0.0013, 0.0013, 0.0039, 0.0013])","tensor([0.0431, 0.9230, 0.0112, 0.0130, 0.0071, 0.0026])",0,44,"Successful"
"im updating my blog because i feel [[shitty]]","im updating my blog because i feel [[shiQtty]]",0.002212651539593935,0.22438833117485046,"tensor([0.9894, 0.0022, 0.0013, 0.0016, 0.0042, 0.0012])","tensor([0.5492, 0.2244, 0.0607, 0.1128, 0.0410, 0.0119])",0,44,"Failed"
"i never make her separate from me because i don t ever want her to feel like i m [[ashamed]] with her","i never make her separate from me because i don t ever want her to feel like i m [[asha%med]] with her",0.002317892387509346,0.23342162370681763,"tensor([0.9891, 0.0023, 0.0014, 0.0016, 0.0044, 0.0013])","tensor([0.6916, 0.2334, 0.0209, 0.0249, 0.0208, 0.0084])",0,44,"Failed"
"i left with my bouquet of red and yellow tulips [[under]] my arm feeling slightly more optimistic than when i arrived","i left with my bouquet of red and yellow tulips [[undebr]] my arm feeling slightly more optimistic than when i arrived",1.9923861026763916,1.9923160076141357,"tensor([3.4216e-03, 9.9239e-01, 1.7268e-03, 9.0594e-04, 1.1010e-03, 4.5864e-04])","tensor([3.4785e-03, 9.9232e-01, 1.7550e-03, 9.0853e-04, 1.0939e-03, 4.4811e-04])",1,24,"Successful"
"i was feeling a little [[vain]] when i did this one","i was feeling a little [[vaLin]] when i did this one",0.0025033385027199984,1.9788358211517334,"tensor([0.9886, 0.0025, 0.0013, 0.0015, 0.0047, 0.0014])","tensor([0.0110, 0.9788, 0.0042, 0.0026, 0.0023, 0.0010])",0,44,"Successful"
"i cant walk into a shop anywhere where i do not feel [[uncomfortable]]","i cant walk into a shop anywhere where i do not feel [[uncomzfortable]]",0.04596154764294624,0.15160003304481506,"tensor([0.0184, 0.0460, 0.0047, 0.0159, 0.9124, 0.0026])","tensor([0.2316, 0.1516, 0.0120, 0.0488, 0.5473, 0.0087])",4,44,"Failed"
"i felt anger when at the end of a [[telephone]] call","i felt anger when at the end of a [[telephoUne]] call",0.0046625081449747086,0.12863074243068695,"tensor([9.2330e-03, 4.6625e-03, 2.7323e-03, 9.7981e-01, 2.7325e-03, 8.3082e-04])","tensor([0.2482, 0.1286, 0.0333, 0.5477, 0.0352, 0.0069])",3,44,"Failed"
"i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for [[getting]] accepted into the masters program at the university of virginia","i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for [[gettingP]] accepted into the masters program at the university of virginia",0.03446786478161812,1.7253506183624268,"tensor([0.9349, 0.0345, 0.0050, 0.0088, 0.0131, 0.0038])","tensor([0.2238, 0.7254, 0.0147, 0.0173, 0.0134, 0.0056])",1,44,"Successful"
"i like to have the same [[breathless]] feeling as a reader eager to see what will happen next","i like to have the same [[breathle|ss]] feeling as a reader eager to see what will happen next",1.9893603324890137,1.9921427965164185,"tensor([4.6448e-03, 9.8936e-01, 2.2241e-03, 1.4046e-03, 1.7303e-03, 6.3609e-04])","tensor([3.3026e-03, 9.9214e-01, 1.7393e-03, 1.0409e-03, 1.2759e-03, 4.9861e-04])",1,24,"Successful"
"i jest i feel [[grumpy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer","i jest i feel [[g\rumpy]] tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer",0.0022953113075345755,0.37166398763656616,"tensor([3.5057e-03, 2.2953e-03, 1.7178e-03, 9.9081e-01, 9.1781e-04, 7.5499e-04])","tensor([0.4967, 0.3717, 0.0257, 0.0434, 0.0531, 0.0095])",3,44,"Failed"
